year,round_id,seed,division_id,team_id,team_name,bracket,p
2015,1,1,1,549,USC,"{1,1,1,1,1,1,1}",1.0
2015,1,,1,588,Youngstown St.,"{2,1,1,1,1,1,1}",1.0
2015,1,,1,572,Virginia Tech,"{3,2,1,1,1,1,1}",1.0
2015,1,,1,379,Long Beach St.,"{4,2,1,1,1,1,1}",1.0
2015,1,,1,381,LSU,"{5,3,2,1,1,1,1}",1.0
2015,1,,1,528,New Mexico,"{6,3,2,1,1,1,1}",1.0
2015,1,,1,402,New Mexico St.,"{7,4,2,1,1,1,1}",1.0
2015,1,16,1,468,Texas Tech,"{8,4,2,1,1,1,1}",1.0
2015,1,9,1,561,Virginia,"{9,5,3,2,1,1,1}",1.0
2015,1,,1,571,VCU,"{10,5,3,2,1,1,1}",1.0
2015,1,,1,547,South Carolina,"{11,6,3,2,1,1,1}",1.0
2015,1,,1,421,Princeton,"{12,6,3,2,1,1,1}",1.0
2015,1,,1,426,Rice,"{13,7,4,2,1,1,1}",1.0
2015,1,,1,475,Tulsa,"{14,7,4,2,1,1,1}",1.0
2015,1,,1,410,Northwestern St.,"{15,8,4,2,1,1,1}",1.0
2015,1,8,1,290,Baylor,"{16,8,4,2,1,1,1}",1.0
2015,1,5,1,500,Florida,"{17,9,5,3,2,1,1}",1.0
2015,1,,1,292,Bethune-Cookman,"{18,9,5,3,2,1,1}",1.0
2015,1,,1,352,Georgia Tech,"{19,10,5,3,2,1,1}",1.0
2015,1,,1,582,Wichita State,"{20,10,5,3,2,1,1}",1.0
2015,1,,1,285,Arizona State,"{21,11,6,3,2,1,1}",1.0
2015,1,,1,485,Arkansas,"{22,11,6,3,2,1,1}",1.0
2015,1,,1,296,Boston University,"{23,12,6,3,2,1,1}",1.0
2015,1,12,1,414,Oklahoma State,"{24,12,6,3,2,1,1}",1.0
2015,1,13,1,482,Alabama,"{25,13,7,4,2,1,1}",1.0
2015,1,,1,433,Samford,"{26,13,7,4,2,1,1}",1.0
2015,1,,1,314,Clemson,"{27,14,7,4,2,1,1}",1.0
2015,1,,1,546,South Alabama,"{28,14,7,4,2,1,1}",1.0
2015,1,,1,413,Ohio State,"{29,15,8,4,2,1,1}",1.0
2015,1,,1,537,Oklahoma,"{30,15,8,4,2,1,1}",1.0
2015,1,,1,401,Murray State,"{31,16,8,4,2,1,1}",1.0
2015,1,4,1,569,Vanderbilt,"{32,16,8,4,2,1,1}",1.0
2015,1,3,1,487,California,"{33,17,9,5,3,2,1}",1.0
2015,1,,1,798,Bryant,"{34,17,9,5,3,2,1}",1.0
2015,1,,1,504,Houston,"{35,18,9,5,3,2,1}",1.0
2015,1,,1,394,Mississippi St.,"{36,18,9,5,3,2,1}",1.0
2015,1,,1,418,Pepperdine,"{37,19,10,5,3,2,1}",1.0
2015,1,,1,287,Auburn,"{38,19,10,5,3,2,1}",1.0
2015,1,,1,457,Stony Brook,"{39,20,10,5,3,2,1}",1.0
2015,1,14,1,454,Stanford,"{40,20,10,5,3,2,1}",1.0
2015,1,11,1,520,Michigan,"{41,21,11,6,3,2,1}",1.0
2015,1,,1,391,Miami (Ohio),"{42,21,11,6,3,2,1}",1.0
2015,1,,1,510,Kentucky,"{43,22,11,6,3,2,1}",1.0
2015,1,,1,329,DePaul,"{44,22,11,6,3,2,1}",1.0
2015,1,,1,332,Duke,"{45,23,12,6,3,2,1}",1.0
2015,1,,1,423,Purdue,"{46,23,12,6,3,2,1}",1.0
2015,1,,1,312,Charleston Southern,"{47,24,12,6,3,2,1}",1.0
2015,1,6,1,501,Georgia,"{48,24,12,6,3,2,1}",1.0
2015,1,7,1,489,UCLA,"{49,25,13,7,4,2,1}",1.0
2015,1,,1,505,Idaho,"{50,25,13,7,4,2,1}",1.0
2015,1,,1,411,Northwestern,"{51,26,13,7,4,2,1}",1.0
2015,1,,1,452,St. Mary's (CA),"{52,26,13,7,4,2,1}",1.0
2015,1,,1,466,TCU,"{53,27,14,7,4,2,1}",1.0
2015,1,,1,536,Notre Dame,"{54,27,14,7,4,2,1}",1.0
2015,1,,1,282,Alcorn State,"{55,28,14,7,4,2,1}",1.0
2015,1,10,1,464,Texas A&M,"{56,28,14,7,4,2,1}",1.0
2015,1,15,1,519,Miami (FL),"{57,29,15,8,4,2,1}",1.0
2015,1,,1,966,North Florida,"{58,29,15,8,4,2,1}",1.0
2015,1,,1,470,Mississippi,"{59,30,15,8,4,2,1}",1.0
2015,1,,1,497,Denver,"{60,30,15,8,4,2,1}",1.0
2015,1,,1,326,Dartmouth,"{61,31,16,8,4,2,1}",1.0
2015,1,,1,320,William & Mary,"{62,31,16,8,4,2,1}",1.0
2015,1,,1,424,Quinnipiac,"{63,32,16,8,4,2,1}",1.0
2015,1,2,1,531,North Carolina,"{64,32,16,8,4,2,1}",1.0
