BEGIN
CREATE TABLE
INSERT 0 893
 rk  |                       school                       | league |  str  |  ofs  |  dfs  | sos  
-----+----------------------------------------------------+--------+-------+-------+-------+------
   1 | University of Virginia                             | D1     |  3.49 |  1.74 | -1.75 | 4.69
   2 | Baylor University                                  | D1     |  3.41 |  1.70 | -1.72 | 5.64
   3 | University of Oklahoma                             | D1     |  3.37 |  1.68 | -1.70 | 8.78
   4 | University of Southern California                  | D1     |  3.17 |  1.56 | -1.60 | 5.43
   5 | University of Illinois                             | D1     |  2.83 |  1.41 | -1.42 | 4.72
   6 | University of Georgia                              | D1     |  2.73 |  1.36 | -1.37 | 5.56
   7 | UCLA                                               | D1     |  2.57 |  1.27 | -1.30 | 5.74
   8 | Ohio State University                              | D1     |  2.53 |  1.26 | -1.27 | 4.03
   9 | Duke University                                    | D1     |  2.52 |  1.26 | -1.26 | 4.99
  10 | Virginia Tech                                      | D1     |  2.45 |  1.23 | -1.22 | 2.98
  11 | University of Texas                                | D1     |  2.45 |  1.22 | -1.22 | 6.35
  12 | Texas A&M University                               | D1     |  2.44 |  1.24 | -1.21 | 4.74
  13 | Wake Forest University                             | D1     |  2.43 |  1.23 | -1.21 | 3.44
  14 | North Carolina                                     | D1     |  2.43 |  1.21 | -1.21 | 3.69
  15 | TCU                                                | D1     |  2.39 |  1.19 | -1.20 | 5.66
  16 | Columbia University                                | D1     |  2.22 |  1.08 | -1.14 | 4.73
  17 | California                                         | D1     |  2.10 |  1.04 | -1.06 | 3.12
  18 | Stanford University                                | D1     |  2.03 |  1.03 | -1.01 | 2.98
  19 | University of South Florida                        | D1     |  2.02 |  1.00 | -1.02 | 3.71
  20 | University of Florida                              | D1     |  2.00 |  1.00 | -1.00 | 6.06
  21 | Florida State University                           | D1     |  1.98 |  1.00 | -0.98 | 3.50
  22 | University of Mississippi                          | D1     |  1.98 |  0.98 | -0.99 | 4.29
  23 | University of Minnesota                            | D1     |  1.97 |  0.99 | -0.98 | 2.64
  24 | LSU                                                | D1     |  1.97 |  0.99 | -0.98 | 2.15
  25 | University of Louisville                           | D1     |  1.92 |  0.97 | -0.95 | 2.02
  26 | Northwestern University                            | D1     |  1.92 |  0.97 | -0.94 | 2.58
  27 | North Carolina State                               | D1     |  1.90 |  0.95 | -0.96 | 2.91
  28 | Mississippi State University                       | D1     |  1.90 |  0.94 | -0.95 | 2.64
  29 | Vanderbilt University                              | D1     |  1.86 |  0.93 | -0.93 | 3.67
  30 | Oklahoma State University                          | D1     |  1.86 |  0.92 | -0.93 | 2.29
  31 | University of Tulsa                                | D1     |  1.85 |  0.93 | -0.92 | 3.25
  32 | Texas Tech University                              | D1     |  1.84 |  0.90 | -0.94 | 4.31
  33 | University of Notre Dame                           | D1     |  1.80 |  0.91 | -0.89 | 4.12
  34 | University of San Diego                            | D1     |  1.78 |  0.89 | -0.89 | 3.03
  35 | Harvard University                                 | D1     |  1.74 |  0.86 | -0.88 | 2.44
  36 | University of Oregon                               | D1     |  1.68 |  0.85 | -0.83 | 2.35
  37 | Drake University                                   | D1     |  1.66 |  0.82 | -0.84 | 2.29
  38 | San Diego State University                         | D1     |  1.61 |  0.82 | -0.79 | 2.32
  39 | Princeton University                               | D1     |  1.56 |  0.77 | -0.80 | 2.48
  40 | Tulane University                                  | D1     |  1.51 |  0.75 | -0.76 | 2.18
  41 | Georgia Tech                                       | D1     |  1.46 |  0.74 | -0.72 | 3.08
  42 | University of Washington                           | D1     |  1.45 |  0.73 | -0.71 | 1.74
  43 | University of Tennessee                            | D1     |  1.44 |  0.72 | -0.71 | 3.75
  44 | Wichita State University                           | D1     |  1.43 |  0.72 | -0.71 | 0.98
  45 | University of South Carolina                       | D1     |  1.39 |  0.69 | -0.70 | 3.36
  46 | Old Dominion University                            | D1     |  1.37 |  0.69 | -0.69 | 1.19
  47 | Dartmouth College                                  | D1     |  1.37 |  0.69 | -0.68 | 3.21
  48 | University of Denver                               | D1     |  1.36 |  0.68 | -0.68 | 1.67
  49 | University of Kentucky                             | D1     |  1.34 |  0.68 | -0.66 | 2.37
  50 | SMU                                                | D1     |  1.34 |  0.68 | -0.66 | 0.83
  51 | Rice University                                    | D1     |  1.31 |  0.66 | -0.65 | 2.43
  52 | Cornell University                                 | D1     |  1.29 |  0.64 | -0.65 | 2.97
  53 | Indiana University-Bloomington                     | D1     |  1.27 |  0.62 | -0.65 | 2.43
  54 | University of North Florida                        | D1     |  1.25 |  0.61 | -0.64 | 1.52
  55 | University of Memphis                              | D1     |  1.23 |  0.61 | -0.62 | 1.94
  56 | Auburn University                                  | D1     |  1.19 |  0.59 | -0.59 | 2.34
  57 | Clemson University                                 | D1     |  1.16 |  0.57 | -0.59 | 3.34
  58 | Penn State University                              | D1     |  1.16 |  0.57 | -0.59 | 3.18
  59 | University of New Mexico                           | D1     |  1.12 |  0.55 | -0.57 | 2.38
  60 | Barry University                                   | D2     |  1.08 |  0.54 | -0.55 | 0.42
  61 | University of Alabama                              | D1     |  1.08 |  0.54 | -0.55 | 1.71
  62 | Brown University                                   | D1     |  1.06 |  0.53 | -0.53 | 1.23
  63 | Hawaii Pacific University                          | D2     |  1.04 |  0.49 | -0.54 | 0.49
  64 | University of Arkansas                             | D1     |  1.03 |  0.52 | -0.52 | 1.68
  65 | Pepperdine                                         | D1     |  1.03 |  0.51 | -0.51 | 3.31
  66 | Univ. of Texas at San Antonio                      | D1     |  1.02 |  0.51 | -0.52 | 1.84
  67 | University of Iowa                                 | D1     |  1.00 |  0.51 | -0.49 | 1.61
  68 | Florida Gulf Coast University                      | D1     |  0.98 |  0.50 | -0.48 | 1.19
  69 | Texas A&M-Corpus Christi                           | D1     |  0.97 |  0.49 | -0.48 | 1.56
  70 | UC Santa Barbara                                   | D1     |  0.96 |  0.49 | -0.47 | 1.82
  71 | UNLV                                               | D1     |  0.96 |  0.49 | -0.47 | 1.80
  72 | Michigan State University                          | D1     |  0.95 |  0.48 | -0.47 | 1.56
  73 | Charlotte                                          | D1     |  0.95 |  0.48 | -0.47 | 0.67
  74 | University of Nebraska                             | D1     |  0.94 |  0.47 | -0.46 | 1.52
  75 | University of Michigan                             | D1     |  0.90 |  0.45 | -0.45 | 4.21
  76 | UC Irvine                                          | D1     |  0.86 |  0.43 | -0.43 | 1.46
  77 | East Tennessee State University                    | D1     |  0.85 |  0.41 | -0.44 | 2.16
  78 | Troy University                                    | D1     |  0.84 |  0.43 | -0.41 | 1.17
  79 | Loyola Marymount University                        | D1     |  0.81 |  0.41 | -0.40 | 1.46
  80 | Cal Poly                                           | D1     |  0.80 |  0.40 | -0.40 | 1.73
  81 | Georgia Gwinnett College                           | NAIA   |  0.80 |  0.40 | -0.40 | 0.30
  82 | UC Davis                                           | D1     |  0.79 |  0.40 | -0.39 | 0.98
  83 | University of Portland                             | D1     |  0.79 |  0.39 | -0.40 | 0.91
  84 | Univ. of San Francisco                             | D1     |  0.76 |  0.37 | -0.39 | 1.54
  85 | University of Pennsylvania                         | D1     |  0.74 |  0.36 | -0.38 | 1.59
  86 | University of South Alabama                        | D1     |  0.74 |  0.36 | -0.38 | 1.14
  87 | Armstrong State University                         | D2     |  0.72 |  0.35 | -0.37 | 0.44
  88 | University of Miami (Florida)                      | D1     |  0.71 |  0.36 | -0.35 | 2.71
  89 | UNC Wilmington                                     | D1     |  0.71 |  0.34 | -0.37 | 1.61
  90 | St. John's University                              | D1     |  0.70 |  0.34 | -0.36 | 1.40
  91 | Univ. of Wisconsin, Green Bay                      | D1     |  0.65 |  0.32 | -0.33 | 1.18
  92 | Fresno State                                       | D1     |  0.63 |  0.31 | -0.32 | 1.37
  93 | University of Utah                                 | D1     |  0.63 |  0.31 | -0.32 | 2.22
  94 | Boise State University                             | D1     |  0.63 |  0.30 | -0.32 | 2.61
  95 | University of Central Florida                      | D1     |  0.63 |  0.31 | -0.32 | 1.47
  96 | Utah State University                              | D1     |  0.56 |  0.28 | -0.28 | 0.87
  97 | Brigham Young University                           | D1     |  0.54 |  0.28 | -0.26 | 1.62
  98 | Virginia Commonwealth University                   | D1     |  0.52 |  0.26 | -0.26 | 1.50
  99 | Florida Atlantic University                        | D1     |  0.51 |  0.26 | -0.25 | 0.77
 100 | Univ. of West Florida                              | D2     |  0.49 |  0.25 | -0.25 | 0.36
 101 | Middle Tennessee State University                  | D1     |  0.49 |  0.25 | -0.24 | 1.19
