year,round_id,seed,division_id,team_id,team_name,bracket,p
2015,1,1,1,230,Oklahoma,"{1,1,1,1,1,1,1}",1.0
2015,1,16,1,187,UCLA,"{8,4,2,1,1,1,1}",1.0
2015,1,9,1,171,Texas,"{9,5,3,2,1,1,1}",1.0
2015,1,8,1,197,Georgia,"{16,8,4,2,1,1,1}",1.0
2015,1,5,1,163,TCU,"{17,9,5,3,2,1,1}",1.0
2015,1,12,1,264,Wake Forest,"{24,12,6,3,2,1,1}",1.0
2015,1,13,1,225,North Carolina,"{25,13,7,4,2,1,1}",1.0
2015,1,4,1,202,Illinois,"{32,16,8,4,2,1,1}",1.0
2015,1,3,1,252,Virginia,"{33,17,9,5,3,2,1}",1.0
2015,1,,1,38,Columbia,"{37,19,10,5,3,2,1}",1.0
2015,1,11,1,118,Ohio State,"{41,21,11,6,3,2,1}",1.0
2015,1,6,1,161,Texas A&M,"{48,24,12,6,3,2,1}",1.0
2015,1,7,1,241,USC,"{49,25,13,7,4,2,1}",1.0
2015,1,10,1,48,Duke,"{56,28,14,7,4,2,1}",1.0
2015,1,,1,240,South Florida,"{59,30,15,8,4,2,1}",1.0
2015,1,2,1,10,Baylor,"{64,32,16,8,4,2,1}",1.0
