Final
/tennis/player/_/id/497/bethanie-mattek-sands,Bethanie Mattek-Sands
/tennis/player/_/id/2097/paula-ormaechea,Paula Ormaechea
1,2,3
4,6,6
6,1,3
Final
(12)&nbsp,/tennis/player/_/id/438/tommy-haas,Tommy Haas
(19)&nbsp,/tennis/player/_/id/1023/john-isner,John Isner
1,2,3,4,5
7,7,4,6,10
5,6,6,7,8
Final
/tennis/player/_/id/493/cara-black,Cara Black
/tennis/player/_/id/316/marina-erakovic,Marina Erakovic
/tennis/player/_/id/745/angelique-kerber,Angelique Kerber
/tennis/player/_/id/735/andrea-petkovic,Andrea Petkovic
1,2
6,0
2,0
Final
/tennis/player/_/id/509/lucie-hradecka,Lucie Hradecka
/tennis/player/_/id/521/frantisek-cermak,Frantisek Cermak
/tennis/player/_/id/2031/ashleigh-barty,Ashleigh Barty
/tennis/player/_/id/1092/rohan-bopanna,Rohan Bopanna
1,2
6,6
4,4
Final
/tennis/player/_/id/1774/sorana-cirstea,Sorana Cirstea
/tennis/player/_/id/1183/david-marrero,David Marrero
/tennis/player/_/id/500/su-wei-hsieh,Su-Wei Hsieh
/tennis/player/_/id/809/frederik-nielsen,Frederik Nielsen
1,2
6,4
7,6
Final
(6)&nbsp,/tennis/player/_/id/807/aisam-ul-haq-qureschi,Aisam-Ul-Haq Qureschi
/tennis/player/_/id/1573/jean-julien-rojer,Jean-Julien Rojer
/tennis/player/_/id/903/aljaz-bedene,Aljaz Bedene
/tennis/player/_/id/1578/grega-zemlja,Grega Zemlja
1,2
7,6
5,1
Final
/tennis/player/_/id/304/paul-henri-mathieu,Paul-Henri Mathieu
/tennis/player/_/id/2322/lucas-pouille,Lucas Pouille
/tennis/player/_/id/241/andreas-seppi,Andreas Seppi
/tennis/player/_/id/685/viktor-troicki,Viktor Troicki
1,2
2,0
6,6
Final
/tennis/player/_/id/1382/heather-watson,Heather Watson
/tennis/player/_/id/823/jonathan-marray,Jonathan Marray
/tennis/player/_/id/1967/alize-lim,Alize Lim
/tennis/player/_/id/627/jeremy-chardy,Jeremy Chardy
1,2,3
4,7,12
6,6,14
Walkover
(13)&nbsp,/tennis/player/_/id/707/zhang-shuai,Zhang Shuai
/tennis/player/_/id/385/jie-zheng,Jie Zheng
/tennis/player/_/id/933/misaki-doi,Misaki Doi
/tennis/player/_/id/611/yaroslava-shvedova,Yaroslava Shvedova



Final
/tennis/player/_/id/419/anastasia-rodionova,Anastasia Rodionova
/tennis/player/_/id/666/santiago-gonzalez,Santiago Gonzalez
(7)&nbsp,/tennis/player/_/id/372/casey-dellacqua,Casey Dellacqua
/tennis/player/_/id/562/mahesh-bhupathi,Mahesh Bhupathi
1,2,3
6,1,11
4,6,9
Final
/tennis/player/_/id/795/pablo-cuevas,Pablo Cuevas
/tennis/player/_/id/1513/horacio-zeballos,Horacio Zeballos
(9)&nbsp,/tennis/player/_/id/265/jurgen-melzer,Jurgen Melzer
/tennis/player/_/id/545/leander-paes,Leander Paes
1,2,3
5,6,7
7,4,6
Final
(5)&nbsp,/tennis/player/_/id/263/max-mirnyi,Max Mirnyi
/tennis/player/_/id/598/horia-tecau,Horia Tecau
/tennis/player/_/id/431/michael-llodra,Michael Llodra
/tennis/player/_/id/222/nicolas-mahut,Nicolas Mahut
1,2,3
6,6,5
4,7,7
Final
(9)&nbsp,/tennis/player/_/id/264/stanislas-wawrinka,Stanislas Wawrinka
