BEGIN
 year | div | div | won  | lost | tied | count 
------+-----+-----+------+------+------+-------
 2009 |   1 |   1 | 2598 | 2598 |    2 |  5220
 2009 |   1 |   2 |  116 |   85 |    0 |   203
 2009 |   1 |   3 |   61 |   20 |    0 |    81
 2009 |   1 |   7 |   27 |   12 |    0 |    39
 2009 |   1 |   9 |   15 |    2 |    0 |    17
 2009 |   1 |  13 |    1 |    0 |    0 |     1
 2009 |   1 | 991 |    1 |    0 |    0 |     1
 2009 |   2 |   2 | 1002 | 1002 |    2 |  2008
 2009 |   2 |   3 |  134 |  110 |    0 |   248
 2009 |   2 |   5 |    0 |    1 |    0 |     1
 2009 |   2 |   7 |  114 |   57 |    0 |   173
 2009 |   2 |   9 |   32 |   27 |    0 |    59
 2009 |   2 | 991 |    3 |    0 |    0 |     3
 2009 |   2 | 993 |    1 |    2 |    0 |     3
 2009 |   3 |   3 | 1740 | 1740 |    0 |  3488
 2009 |   3 |   7 |   72 |   58 |    1 |   132
 2009 |   3 |   9 |   10 |   13 |    0 |    23
 2009 |   3 |  13 |    1 |    1 |    0 |     2
 2009 |   3 | 991 |    1 |    1 |    0 |     2
 2009 |   3 | 993 |    2 |    0 |    0 |     2
 2009 |   4 |   4 | 2983 | 2983 |    2 |  6008
 2009 |   4 |   5 |  142 |   79 |    0 |   225
 2009 |   4 |   6 |   52 |   27 |    0 |    80
 2009 |   4 |   8 |   33 |   10 |    0 |    43
 2009 |   4 |  10 |    9 |    1 |    0 |    10
 2009 |   4 |  14 |    1 |    0 |    0 |     1
 2009 |   4 | 991 |    3 |    1 |    0 |     4
 2009 |   5 |   5 | 1378 | 1378 |    0 |  2760
 2009 |   5 |   6 |  144 |  124 |    0 |   268
 2009 |   5 |   8 |  135 |   72 |    0 |   207
 2009 |   5 |  10 |   37 |   17 |    0 |    56
 2009 |   5 |  12 |    3 |    0 |    0 |     3
 2009 |   5 |  14 |    1 |    0 |    0 |     1
 2009 |   5 | 991 |    1 |    0 |    0 |     1
 2009 |   6 |   6 | 2222 | 2222 |    0 |  4464
 2009 |   6 |   7 |    1 |    0 |    0 |     1
 2009 |   6 |   8 |   93 |   53 |    0 |   147
 2009 |   6 |  10 |    8 |   15 |    0 |    23
 2009 |   6 |  12 |    3 |    0 |    0 |     3
 2009 |   6 | 991 |    1 |    0 |    0 |     1
 2009 |   6 | 995 |    0 |    1 |    0 |     1
 2009 |   7 |   7 |  153 |  153 |    0 |   306
 2009 |   7 |   8 |    1 |    3 |    0 |     4
 2009 |   7 |   9 |   11 |   15 |    0 |    26
 2009 |   7 |  13 |    1 |    0 |    0 |     1
 2009 |   7 | 991 |    1 |    0 |    0 |     1
 2009 |   8 |   8 |  183 |  183 |    0 |   368
 2009 |   8 |  10 |   12 |    9 |    0 |    21
 2009 |   9 |   9 |   57 |   57 |    0 |   116
 2009 |   9 |  13 |    0 |    1 |    0 |     1
 2009 |   9 | 993 |    1 |    2 |    0 |     3
 2009 |  10 |  10 |   79 |   79 |    0 |   160
 2009 |  10 |  12 |    1 |    0 |    0 |     2
 2009 |  12 |  12 |    3 |    3 |    0 |     6
 2009 |  12 | 991 |    2 |    0 |    0 |     2
 2009 |  13 |  13 |   38 |   38 |    0 |    76
 2009 | 991 | 993 |    0 |    4 |    0 |     4
 2009 | 993 | 993 |   15 |   15 |    0 |    30
 2010 |   1 |   1 | 2450 | 2450 |    6 |  4946
 2010 |   1 |   2 |  119 |   83 |    0 |   203
 2010 |   1 |   3 |   64 |   24 |    0 |    89
 2010 |   1 |   7 |   45 |   16 |    0 |    61
 2010 |   1 |   9 |   17 |    2 |    0 |    19
 2010 |   1 |  13 |    2 |    0 |    0 |     2
 2010 |   2 |   2 | 1076 | 1076 |    4 |  2200
 2010 |   2 |   3 |  143 |  103 |    0 |   253
 2010 |   2 |   7 |  155 |   75 |    0 |   237
 2010 |   2 |   9 |   26 |   34 |    0 |    64
 2010 |   2 |  13 |    3 |    0 |    0 |     3
 2010 |   2 | 991 |    1 |    0 |    0 |     1
 2010 |   2 | 993 |    3 |    0 |    0 |     3
 2010 |   3 |   3 | 2092 | 2092 |   14 |  4308
 2010 |   3 |   7 |   81 |   72 |    1 |   164
 2010 |   3 |   9 |    8 |   14 |    0 |    22
 2010 |   3 |  13 |    3 |    2 |    0 |     5
 2010 |   3 | 991 |    2 |    0 |    0 |     2
 2010 |   3 | 993 |    1 |    0 |    0 |     1
 2010 |   4 |   4 | 2953 | 2953 |   10 |  5956
 2010 |   4 |   5 |  149 |   80 |    0 |   231
 2010 |   4 |   6 |   43 |   15 |    0 |    59
 2010 |   4 |   8 |   35 |   15 |    0 |    51
 2010 |   4 |  10 |   11 |    2 |    0 |    13
 2010 |   5 |   5 | 1488 | 1488 |    2 |  3050
 2010 |   5 |   6 |  141 |  119 |    3 |   275
 2010 |   5 |   7 |    1 |    2 |    0 |     3
 2010 |   5 |   8 |  193 |   62 |    0 |   259
 2010 |   5 |  10 |   27 |   17 |    0 |    46
 2010 |   5 | 991 |    0 |    0 |    0 |     1
 2010 |   6 |   6 | 2233 | 2233 |   10 |  4548
 2010 |   6 |   7 |    0 |    2 |    0 |     2
 2010 |   6 |   8 |   81 |   60 |    0 |   145
 2010 |   6 |  10 |    7 |   10 |    0 |    19
 2010 |   6 |  12 |    0 |    0 |    0 |     1
 2010 |   6 | 995 |    1 |    3 |    0 |     4
 2010 |   7 |   7 |  194 |  194 |    0 |   392
 2010 |   7 |   8 |    0 |    2 |    1 |     4
 2010 |   7 |   9 |    3 |   21 |    0 |    24
 2010 |   8 |   8 |  225 |  225 |    2 |   452
 2010 |   8 |  10 |    1 |    8 |    0 |     9
 2010 |   9 |   9 |   86 |   86 |    0 |   172
 2010 |   9 | 991 |    5 |    0 |    0 |     5
 2010 |   9 | 993 |    2 |    3 |    0 |     6
 2010 |  10 |  10 |  105 |  105 |    0 |   210
 2010 |  10 |  12 |    1 |    0 |    0 |     1
 2010 |  12 |  12 |   13 |   13 |    0 |    26
 2010 | 991 | 993 |    1 |    6 |    0 |     7
 2010 | 993 | 993 |   32 |   32 |    0 |    64
 2011 |   1 |   1 | 2593 | 2593 |    6 |  5240
 2011 |   1 |   2 |  153 |   65 |    0 |   223
 2011 |   1 |   3 |   42 |   17 |    0 |    61
 2011 |   1 |   5 |    1 |    0 |    0 |     1
 2011 |   1 |   7 |   42 |   16 |    0 |    58
 2011 |   1 |   9 |   13 |    8 |    0 |    22
 2011 |   1 | 994 |    1 |    0 |    0 |     1
 2011 |   2 |   2 | 1054 | 1054 |    0 |  2208
 2011 |   2 |   3 |  140 |  103 |    0 |   256
 2011 |   2 |   7 |  156 |   64 |    2 |   227
 2011 |   2 |   9 |   24 |   29 |    0 |    54
 2011 |   2 | 991 |    3 |    0 |    0 |     3
 2011 |   2 | 993 |    1 |    0 |    0 |     1
 2011 |   3 |   3 | 2050 | 2050 |    8 |  4212
 2011 |   3 |   7 |   69 |   73 |    0 |   152
 2011 |   3 |   9 |   11 |    8 |    0 |    19
 2011 |   3 |  13 |    6 |    0 |    0 |     6
 2011 |   3 | 991 |    2 |    0 |    0 |     2
 2011 |   4 |   4 | 3010 | 3010 |    8 |  6106
 2011 |   4 |   5 |  166 |   74 |    2 |   254
 2011 |   4 |   6 |   56 |   12 |    0 |    72
 2011 |   4 |   8 |   44 |   15 |    0 |    60
 2011 |   4 |  10 |   14 |    9 |    0 |    23
 2011 |   5 |   5 | 1438 | 1438 |   30 |  3032
 2011 |   5 |   6 |  136 |   94 |    1 |   245
 2011 |   5 |   7 |    1 |    2 |    0 |     3
 2011 |   5 |   8 |  177 |   60 |    1 |   247
 2011 |   5 |  10 |   25 |   17 |    0 |    46
 2011 |   6 |   6 | 2057 | 2057 |    6 |  4210
 2011 |   6 |   8 |   63 |   53 |    0 |   121
 2011 |   6 |  10 |   16 |    8 |    0 |    24
 2011 |   6 | 995 |    2 |    0 |    0 |     2
 2011 |   7 |   7 |  254 |  254 |    0 |   524
 2011 |   7 |   8 |    5 |    5 |    0 |    11
 2011 |   7 |   9 |   10 |   18 |    0 |    31
 2011 |   8 |   8 |  264 |  264 |    0 |   544
 2011 |   8 |  10 |    8 |   24 |    0 |    36
 2011 |   9 |   9 |  161 |  161 |    0 |   332
 2011 |   9 |  13 |    2 |    1 |    0 |     3
 2011 |   9 | 991 |    4 |    0 |    0 |     4
 2011 |   9 | 993 |    5 |    0 |    0 |     5
 2011 |  10 |  10 |  185 |  185 |    2 |   388
 2011 |  10 |  12 |    1 |    0 |    0 |     1
 2011 |  10 |  14 |    3 |    0 |    0 |     3
 2011 |  12 |  12 |   11 |   11 |    0 |    22
 2011 | 991 | 993 |    0 |    1 |    0 |     1
 2011 | 993 | 993 |   33 |   33 |    0 |    66
 2012 |   1 |   1 | 2576 | 2576 |    6 |  5214
 2012 |   1 |   2 |  138 |   50 |    0 |   196
 2012 |   1 |   3 |   52 |    7 |    0 |    61
 2012 |   1 |   7 |   29 |   26 |    0 |    58
 2012 |   1 |   9 |   21 |    6 |    0 |    28
 2012 |   1 |  13 |    1 |    0 |    0 |     1
 2012 |   2 |   2 | 1112 | 1112 |    2 |  2270
 2012 |   2 |   3 |  145 |   81 |    0 |   240
 2012 |   2 |   7 |  115 |   79 |    0 |   203
 2012 |   2 |   9 |   30 |   30 |    0 |    63
 2012 |   2 |  13 |    0 |    1 |    0 |     2
 2012 |   2 | 991 |    2 |    0 |    0 |     2
 2012 |   2 | 993 |    2 |    0 |    0 |     2
 2012 |   2 | 994 |    0 |    1 |    0 |     1
 2012 |   3 |   3 | 1898 | 1898 |    4 |  3958
 2012 |   3 |   5 |    0 |    0 |    0 |     1
 2012 |   3 |   7 |   78 |   57 |    0 |   140
 2012 |   3 |   9 |    8 |   25 |    0 |    35
 2012 |   3 |  13 |    7 |    1 |    0 |     8
 2012 |   3 | 991 |    0 |    1 |    0 |     1
 2012 |   3 | 993 |    1 |    0 |    0 |     2
 2012 |   3 | 994 |    0 |    1 |    0 |     1
 2012 |   4 |   4 | 2944 | 2944 |   12 |  5982
 2012 |   4 |   5 |  161 |   74 |    1 |   248
 2012 |   4 |   6 |   45 |   12 |    0 |    58
 2012 |   4 |   7 |    1 |    0 |    0 |     1
 2012 |   4 |   8 |   39 |    9 |    0 |    50
 2012 |   4 |  10 |   12 |    2 |    0 |    14
 2012 |   4 |  14 |    1 |    0 |    0 |     1
 2012 |   5 |   5 | 1559 | 1559 |   16 |  3198
 2012 |   5 |   6 |  134 |  116 |    1 |   260
 2012 |   5 |   7 |    0 |    2 |    1 |     3
 2012 |   5 |   8 |  146 |   61 |    0 |   213
 2012 |   5 |  10 |   28 |   21 |    0 |    55
 2012 |   5 |  14 |    2 |    0 |    0 |     2
 2012 |   6 |   6 | 2112 | 2112 |    4 |  4448
 2012 |   6 |   8 |   80 |   37 |    0 |   120
 2012 |   6 |  10 |    8 |   14 |    0 |    23
 2012 |   6 |  12 |    1 |    0 |    0 |     1
 2012 |   7 |   7 |  292 |  292 |    0 |   612
 2012 |   7 |   8 |    7 |    3 |    0 |    10
 2012 |   7 |   9 |    7 |   24 |    0 |    32
 2012 |   7 |  13 |    0 |    1 |    0 |     1
