rk,school,league,str,ofs,dfs,sos
155,Columbus State University,D2,-0.26,-0.12,0.14,0.07
156,Valparaiso University,D1,-0.27,-0.15,0.12,0.14
157,"University of South Carolina, Upstate",D1,-0.29,-0.13,0.16,1.51
158,Xavier University,D1,-0.34,-0.18,0.16,0.83
159,East Carolina University,D1,-0.43,-0.19,0.23,0.88
160,Nicholls State University,D1,-0.46,-0.29,0.17,1.87
161,Lynn University,D2,-0.47,-0.23,0.24,0.27
162,University of Texas-Pan American,D1,-0.48,-0.24,0.24,1.50
163,Northern Arizona University,D1,-0.49,-0.27,0.22,0.39
164,Tennessee Tech University,D1,-0.49,-0.24,0.25,0.56
165,Monmouth University,D1,-0.51,-0.25,0.26,0.11
166,Ball State University,D1,-0.61,-0.29,0.32,0.46
167,Emory University,D3,-0.61,-0.35,0.26,0.09
168,Belmont University,D1,-0.62,-0.32,0.30,0.26
169,Marist College,D1,-0.64,-0.36,0.28,0.10
170,U.S. Naval Academy,D1,-0.65,-0.32,0.33,0.11
171,University of Hawaii,D1,-0.65,-0.34,0.31,4.42
172,Montana,D1,-0.70,-0.35,0.36,1.63
173,UNC Asheville,D1,-0.72,-0.34,0.38,0.18
174,U.S. Military Academy,D1,-0.72,-0.34,0.38,0.09
175,Amherst College,D3,-0.73,-0.36,0.37,0.11
176,University of Idaho,D1,-0.76,-0.41,0.35,0.24
177,Weber State,D1,-0.80,-0.39,0.41,0.24
178,"Southern Illinois, Carbondale",D1,-0.84,-0.43,0.41,1.47
179,Georgia College,D2,-0.85,-0.45,0.41,0.13
180,UMKC,D1,-0.88,-0.44,0.44,0.25
181,Eastern Kentucky University,D1,-0.89,-0.43,0.45,0.16
182,Mount Olive College,D2,-0.94,-0.47,0.47,0.00
183,University of Toledo,D1,-0.98,-0.47,0.51,0.83
184,Midwestern State University,D2,-1.00,-0.51,0.49,0.06
185,Austin Peay State University,D1,-1.04,-0.53,0.51,0.33
186,New York Institute of Technology,D2,-1.05,-0.52,0.52,0.01
187,U.S. Air Force Academy,D1,-1.05,-0.52,0.53,0.96
188,Saint Mary's College of California,D1,-1.06,-0.52,0.54,3.94
189,Rollins College,D2,-1.07,-0.53,0.54,0.23
190,Butler University,D1,-1.07,-0.53,0.54,0.52
191,Valdosta State University,D2,-1.07,-0.55,0.52,0.16
192,Davidson College,D1,-1.09,-0.52,0.56,0.12
193,Univ. of Chicago,D3,-1.09,-0.57,0.52,0.03
194,Middlebury College,D3,-1.09,-0.53,0.56,0.04
195,Univ. of Incarnate Word,D1,-1.09,-0.51,0.58,6.13
196,Azusa Pacific University,D2,-1.09,-0.54,0.56,0.13
197,Embry-Riddle (Fla.),NAIA,-1.11,-0.53,0.58,0.02
198,Washington University in St. Louis,D3,-1.12,-0.59,0.53,0.06
199,Radford University,D1,-1.12,-0.57,0.56,0.15
200,Sacramento State,D1,-1.15,-0.57,0.58,0.46
201,NJIT,D1,-1.23,-0.60,0.63,0.28
202,Boston College,D1,-1.27,-0.65,0.62,3.31
203,UC San Diego,D2,-1.30,-0.65,0.65,0.15
204,IPFW,D1,-1.41,-0.69,0.72,0.08
205,Boston University,D1,-1.42,-0.75,0.67,0.12
206,Montana State University-Bozeman,D1,-1.47,-0.74,0.72,0.63
207,Xavier University of Louisiana,NAIA,-1.47,-0.75,0.73,0.02
208,Drury University,D2,-1.50,-0.74,0.75,0.02
209,University of North Georgia,D2,-1.52,-0.75,0.76,0.03
210,Lipscomb University,D1,-1.57,-0.76,0.81,1.16
211,GRU Augusta,D2,-1.70,-0.83,0.87,0.03
212,Stony Brook University,D1,-1.76,-0.91,0.84,0.15
213,Brigham Young University Hawaii,D2,-1.78,-0.94,0.84,0.02
214,Ouachita Baptist,D2,-1.78,-0.89,0.89,0.03
215,Creighton University,D1,-1.78,-0.96,0.83,0.03
216,Georgetown University,D1,-1.79,-0.91,0.88,0.63
217,Pomona-Pitzer Colleges,D3,-1.80,-0.89,0.91,0.04
218,Duquesne University,D1,-1.87,-0.93,0.95,0.14
219,Trinity University (Texas),D3,-1.88,-0.97,0.92,0.02
220,Palm Beach Atlantic (Fla.),D2,-1.89,-0.96,0.93,0.01
221,Williams College,D3,-1.93,-0.97,0.97,0.12
222,Univ. of Dayton,D1,-1.97,-0.96,1.01,0.12
223,University of New Orleans,D1,-1.98,-1.04,0.94,1.72
224,Jacksonville State University,D1,-2.04,-1.01,1.03,0.55
225,Univ. of Redlands,D3,-2.09,-1.04,1.05,0.02
226,James Madison University,D1,-2.11,-1.07,1.04,0.32
227,Youngstown State University,D1,-2.13,-1.06,1.07,0.50
228,Northwest Missouri State,D2,-2.14,-1.08,1.06,0.02
229,Ferris State University,D2,-2.14,-1.07,1.07,0.02
230,Bowdoin College,D3,-2.18,-1.07,1.10,0.03
231,North Carolina Wesleyan,D3,-2.21,-1.16,1.05,0.00
232,Southeastern Oklahoma State,D2,-2.22,-1.12,1.11,0.02
233,Carnegie Mellon University,D3,-2.26,-1.17,1.09,0.04
234,Kenyon College,D3,-2.28,-1.16,1.12,0.01
235,George Mason University,D1,-2.32,-1.17,1.15,0.07
236,Bucknell University,D1,-2.35,-1.17,1.17,0.02
237,Bluefield State College,D2,-2.36,-1.17,1.19,0.01
238,Oral Roberts University,D1,-2.36,-1.18,1.17,0.04
239,IUPUI,D1,-2.37,-1.16,1.21,0.31
240,Chattanooga,D1,-2.42,-1.19,1.23,0.64
241,University of Mary Washington,D3,-2.43,-1.18,1.25,0.00
242,Westmont College,NAIA,-2.44,-1.20,1.24,0.04
243,South Dakota State,D1,-2.47,-1.24,1.23,0.05
244,Wingate University,D2,-2.47,-1.22,1.25,0.01
245,UC Riverside,D1,-2.50,-1.24,1.26,3.11
246,"Univ. of South Carolina, Aiken",D2,-2.51,-1.23,1.28,0.06
247,Univ. of Illinois at Chicago,D1,-2.52,-1.24,1.27,0.32
248,"Southern Illinois, Edwardsville",D1,-2.55,-1.27,1.28,0.07
249,Bethune-Cookman University,D1,-2.56,-1.29,1.27,0.06
250,Univ. of Indianapolis,D2,-2.61,-1.30,1.31,0.03
251,Queens Univ. of Charlotte,D2,-2.62,-1.31,1.31,0.01
252,Gustavus Adolphus College,D3,-2.63,-1.30,1.32,0.01
253,University of Northwestern Ohio,NAIA,-2.64,-1.30,1.33,0.01
254,Southwest Baptist,D2,-2.66,-1.36,1.30,0.02
255,Quinnipiac University,D1,-2.66,-1.33,1.33,0.06
256,Tufts University,D3,-2.67,-1.32,1.35,0.04
257,Univ. of Nebraska at Kearney,D2,-2.70,-1.33,1.36,0.01
258,Bryant University,D1,-2.70,-1.38,1.32,0.39
259,Northwood (Fla.),NAIA,-2.75,-1.38,1.37,0.01
260,Fairleigh Dickinson University,D1,-2.76,-1.41,1.35,0.07
261,Univ. of Southern Indiana,D2,-2.76,-1.38,1.39,0.01
262,Francis Marion University,D2,-2.76,-1.37,1.40,0.09
263,Whitman College,D3,-2.80,-1.41,1.38,0.00
264,Lehigh University,D1,-2.80,-1.39,1.40,0.07
265,Northern Kentucky University,D1,-2.80,-1.40,1.40,0.20
266,McKendree University (Ill.),D2,-2.82,-1.39,1.43,0.00
267,Grand Valley State University,D2,-2.82,-1.41,1.41,0.01
268,Point Loma Nazarene University (Calif.),D2,-2.84,-1.40,1.44,0.21
269,Wesleyan University,D3,-2.85,-1.43,1.43,0.03
270,Case Western Reserve University,D3,-2.86,-1.45,1.41,0.02
271,Temple University,D1,-2.93,-1.49,1.44,0.03
272,Trinity College (Connecticut),D3,-2.94,-1.46,1.47,0.02
273,Northwood University (Mich.),D2,-2.99,-1.50,1.49,0.02
274,Morehead State University,D1,-3.02,-1.51,1.51,0.46
275,Saint Joseph's University,D1,-3.03,-1.51,1.52,0.04
276,St. Edward's University,D2,-3.04,-1.54,1.50,0.03
277,Seattle University,D1,-3.12,-1.62,1.50,0.41
278,Florida A&M University,D1,-3.13,-1.60,1.52,0.94
279,Cameron University,D2,-3.13,-1.54,1.60,0.02
280,Johns Hopkins University,D3,-3.14,-1.58,1.56,0.01
281,Eastern Illinois University,D1,-3.15,-1.57,1.58,0.20
282,The University of Texas at Tyler,D3,-3.15,-1.58,1.57,0.00
283,San Diego Christian College,NAIA,-3.21,-1.60,1.61,0.01
284,Flagler (Fla.),D2,-3.23,-1.60,1.64,0.19
285,University of Detroit Mercy,D1,-3.24,-1.62,1.62,0.24
286,Stevens Institute of Technology,D3,-3.24,-1.63,1.61,0.00
287,North Carolina Central University,D1,-3.25,-1.66,1.58,0.03
288,Skidmore College,D3,-3.25,-1.63,1.62,0.01
289,Tusculum College,D2,-3.27,-1.64,1.64,0.00
290,Florida Southern College,D2,-3.28,-1.65,1.63,0.04
291,Florida Tech,D2,-3.28,-1.67,1.62,0.03
292,College of New Jersey,D3,-3.32,-1.62,1.70,0.00
293,Drexel University,D1,-3.34,-1.67,1.67,0.05
294,West Liberty University,D2,-3.35,-1.72,1.64,0.00
295,Wright State University,D1,-3.39,-1.68,1.72,0.07
296,"Univ. of Wisconsin, Whitewater",D3,-3.40,-1.68,1.71,0.00
297,Idaho State University,D1,-3.40,-1.68,1.72,0.49
298,Bates College,D3,-3.41,-1.69,1.72,0.04
299,"Univ. of Missouri, St. Louis",D2,-3.43,-1.71,1.72,0.01
300,University of West Alabama,D2,-3.45,-1.74,1.72,0.01
301,Eastern Washington University,D1,-3.48,-1.73,1.74,1.14
302,Alcorn State University,D1,-3.51,-1.76,1.75,0.12
303,Niagara University,D1,-3.55,-1.76,1.79,0.12
304,Univ. of North Alabama,D2,-3.59,-1.79,1.81,0.01
305,St. Francis Univ. (Pennsylvania),D1,-3.62,-1.81,1.82,0.03
306,Limestone College,D2,-3.62,-1.81,1.81,0.01
307,Lewis University,D2,-3.64,-1.81,1.84,0.01
308,Villanova University,D1,-3.67,-1.85,1.82,0.35
309,College of Coastal Georgia,NAIA,-3.67,-1.87,1.80,0.03
310,Portland State University,D1,-3.70,-1.83,1.86,0.32
311,Holy Names University,D2,-3.74,-1.88,1.86,0.05
312,Concordia College,D2,-3.76,-1.86,1.90,0.27
313,Saint Joseph's College (IN),D2,-3.81,-1.93,1.88,0.00
314,"Anderson University, South Carolina",D2,-3.83,-1.91,1.92,0.01
315,St. Cloud State University,D2,-3.84,-1.97,1.86,0.00
316,Western New Mexico University,D2,-3.87,-1.98,1.89,0.02
317,Young Harris College,D2,-3.90,-1.93,1.98,0.07
318,Saint Louis University,D1,-3.91,-1.95,1.96,0.02
319,Univ. of Findlay,D2,-3.97,-1.99,1.98,0.00
320,East Central University (Oklahoma),D2,-3.99,-2.01,1.98,0.03
321,Colgate University,D1,-4.00,-2.01,1.99,0.01
322,Norfolk State University,D1,-4.01,-2.03,1.97,0.08
323,Rockhurst University,D2,-4.01,-2.00,2.01,0.01
324,Campbellsville University (Ky.),NAIA,-4.01,-2.04,1.98,0.00
325,St. Mary's University (Texas),D2,-4.03,-2.03,2.00,0.02
326,Brandeis University,D3,-4.04,-2.03,2.00,0.02
327,Wayne State (MI),D2,-4.08,-2.03,2.04,0.01
328,Coe College,D3,-4.09,-2.05,2.04,0.00
329,Concordia University (Irvine),NAIA,-4.10,-2.03,2.07,0.08
330,UC Santa Cruz,D3,-4.14,-2.08,2.06,0.06
331,Fairfield University,D1,-4.14,-2.04,2.10,0.02
332,DePauw University,D3,-4.15,-2.09,2.06,0.01
333,St. Bonaventure University,D1,-4.16,-2.08,2.08,0.09
334,Univ. of Alabama in Huntsville,D2,-4.17,-2.07,2.11,0.01
335,Alabama State University,D1,-4.18,-2.11,2.07,0.03
336,Univ. of Northern Colorado,D1,-4.19,-2.05,2.14,0.29
337,Newman University,D2,-4.21,-2.13,2.08,0.02
338,Longwood University,D1,-4.23,-2.11,2.11,0.07
339,University of Connecticut,D1,-4.24,-2.12,2.12,0.14
340,Queens College (New York),D2,-4.26,-2.11,2.15,0.00
341,Denison University,D3,-4.27,-2.16,2.10,0.01
342,Pacific University (Oregon),D3,-4.27,-2.15,2.12,0.00
343,Eckerd College,D2,-4.33,-2.13,2.20,0.03
344,Middle Georgia State College,NAIA,-4.33,-2.17,2.17,0.00
345,Delta State University,D2,-4.41,-2.24,2.18,0.02
346,Barton College (NC),D2,-4.43,-2.20,2.22,0.00
347,California Lutheran University,D3,-4.44,-2.21,2.24,0.02
348,Pfeiffer University,D2,-4.45,-2.21,2.24,0.00
349,Ohio Dominican University,D2,-4.46,-2.24,2.22,0.00
350,Hofstra University,D1,-4.48,-2.21,2.26,0.02
351,Olivet Nazarene (Ill.),NAIA,-4.48,-2.21,2.27,0.00
352,Metropolitan State College of Denver,D2,-4.53,-2.25,2.28,0.00
353,McPherson College,NAIA,-4.53,-2.24,2.29,0.00
354,Lindenwood (Mo.),D2,-4.54,-2.26,2.28,0.03
355,Wagner College,D1,-4.59,-2.28,2.31,0.02
356,Southeastern University,NAIA,-4.66,-2.31,2.35,0.00
357,Bellarmine University,D2,-4.66,-2.32,2.35,0.01
358,The Citadel,D1,-4.67,-2.36,2.31,2.32
359,Harding University,D2,-4.68,-2.37,2.31,0.00
360,Belhaven (Miss.),NAIA,-4.76,-2.40,2.36,0.00
361,Dalton State College,NAIA,-4.78,-2.50,2.27,0.04
362,Swarthmore College,D3,-4.79,-2.39,2.40,0.00
363,Lincoln Memorial University,D2,-4.80,-2.39,2.41,0.01
364,Colorado Mesa University,D2,-4.81,-2.47,2.34,0.00
365,Rensselaer Polytechnic Institute,D3,-4.84,-2.43,2.40,0.00
366,Sonoma State University,D2,-4.85,-2.44,2.41,0.10
367,Chapman University,D3,-4.86,-2.42,2.44,0.01
368,Washburn University,D2,-4.88,-2.44,2.43,0.02
369,Morgan State University,D1,-4.88,-2.43,2.45,0.62
370,Martin Methodist (Tenn.),NAIA,-4.92,-2.51,2.40,0.01
371,University of Rochester,D3,-4.92,-2.47,2.45,0.01
372,William Carey University,NAIA,-4.94,-2.55,2.38,0.02
373,Emporia State University,D2,-4.97,-2.46,2.51,0.02
374,Friends (Kan.),NAIA,-4.99,-2.46,2.53,0.00
375,Univ. of the South,D3,-5.01,-2.55,2.46,0.00
376,Chicago State University,D1,-5.03,-2.51,2.52,0.07
377,Prairie View A&M University,D1,-5.07,-2.58,2.49,0.23
378,MIT,D3,-5.08,-2.52,2.56,0.00
379,Carleton College,D3,-5.08,-2.55,2.53,0.00
380,Cardinal Strich University,NAIA,-5.09,-2.54,2.55,0.01
381,Babson College,D3,-5.09,-2.55,2.55,0.00
382,Christopher Newport University,D3,-5.13,-2.57,2.56,0.00
383,Shorter University,D2,-5.15,-2.56,2.58,0.11
384,Univ. of North Dakota,D1,-5.15,-2.56,2.59,0.04
385,Chestnut Hill College,D2,-5.17,-2.58,2.60,0.00
386,Mars Hill University,D2,-5.20,-2.57,2.62,0.01
387,Merrimack College,D2,-5.24,-2.60,2.64,0.00
388,Jackson State University,D1,-5.24,-2.64,2.60,2.10
389,"Univ. of Wisconsin, La Crosse",D3,-5.25,-2.69,2.56,0.00
390,Newberry College,D2,-5.27,-2.65,2.62,0.00
391,Mississippi College,D2,-5.27,-2.63,2.65,0.01
392,Edinboro University,D2,-5.31,-2.71,2.60,0.00
393,Colby College,D3,-5.31,-2.68,2.63,0.00
394,New York University,D3,-5.32,-2.67,2.66,0.01
395,Lewis and Clark College (OR),D3,-5.34,-2.64,2.70,0.00
396,Kalamazoo College,D3,-5.34,-2.68,2.67,0.00
397,Asbury (Ky.),NAIA,-5.38,-2.71,2.67,0.00
398,Mount St. Mary's University,D1,-5.41,-2.72,2.69,0.03
399,Aquinas College (Mich),NAIA,-5.46,-2.76,2.70,0.01
400,Carthage College,D3,-5.47,-2.79,2.68,0.00
401,Lenoir-Rhyne University,D2,-5.48,-2.74,2.74,0.00
402,George Fox University,D3,-5.52,-2.77,2.75,0.00
403,Indiana Wesleyan,NAIA,-5.52,-2.74,2.78,0.00
404,University of Hartford,D1,-5.59,-2.77,2.81,0.08
405,University of Delaware,D1,-5.60,-2.79,2.81,0.11
406,Wilkes University,D3,-5.60,-2.88,2.72,0.00
407,West Virginia Wesleyan College,D2,-5.62,-2.83,2.80,0.00
408,Missouri Valley College,NAIA,-5.65,-2.79,2.86,0.00
409,Univ. of St. Francis (Ill.),NAIA,-5.65,-2.83,2.82,0.00
410,Catawba College,D2,-5.66,-2.82,2.83,0.00
411,Loyola College (Maryland),D1,-5.67,-2.82,2.86,0.09
412,Oberlin College,D3,-5.69,-2.82,2.87,0.00
413,Univ. of Charleston (West Virginia),D2,-5.71,-2.87,2.84,0.00
414,Davenport University,NAIA,-5.72,-2.88,2.84,0.00
415,Lewis-Clark State College (Idaho),NAIA,-5.75,-2.86,2.89,0.05
416,Sacred Heart University,D1,-5.76,-2.86,2.90,0.03
417,Grinnell College,D3,-5.78,-2.93,2.85,0.00
418,Marian Univ. (Ind.),NAIA,-5.78,-2.91,2.87,0.00
419,Coker College,D2,-5.79,-2.89,2.89,0.02
420,Pikeville (Ky.),NAIA,-5.79,-2.86,2.93,0.00
421,Carson-Newman College,D2,-5.79,-2.88,2.92,0.01
422,Our Lady of the Lake University,NAIA,-5.80,-2.92,2.89,0.00
423,Allegheny College,D3,-5.80,-2.93,2.88,0.00
424,Biola University,NAIA,-5.81,-2.88,2.93,0.00
425,Mercyhurst University,D2,-5.83,-2.88,2.95,0.00
426,North Greenville University (S.C.),D2,-5.84,-2.90,2.93,0.01
427,Vassar College,D3,-5.89,-2.93,2.96,0.00
428,Univ. of District of Columbia,D2,-5.93,-2.94,2.99,0.00
429,Wabash College,D3,-5.94,-3.00,2.94,0.00
430,Methodist University,D3,-5.96,-2.96,3.01,0.00
431,Walsh (Ohio),D2,-5.98,-2.99,2.99,0.01
432,Southwestern University (TX),D3,-5.99,-2.98,3.01,0.00
433,Wheaton College (Illinois),D3,-6.03,-3.05,2.98,0.00
434,Georgia Southwestern State,D2,-6.05,-3.00,3.05,0.13
435,Cumberlands (Ky.),NAIA,-6.07,-3.01,3.06,0.03
436,McMurry University,D3,-6.07,-3.05,3.02,0.00
437,"University of Arkansas, Fort Smith",D2,-6.17,-3.07,3.10,0.02
438,Savannah College of Art & Design,NAIA,-6.18,-3.06,3.12,0.02
439,University of St. Thomas,D3,-6.26,-3.11,3.15,0.00
440,Graceland University (Iowa),NAIA,-6.27,-3.10,3.17,0.02
441,Salisbury University,D3,-6.38,-3.20,3.18,0.00
442,Tiffin University,D2,-6.39,-3.21,3.18,0.01
443,Birmingham-Southern College,D3,-6.53,-3.27,3.25,0.00
444,Tennessee State University,D1,-6.54,-3.26,3.28,0.29
445,Penn State Abington,D3,-6.56,-3.27,3.28,0.00
