rk,school,league,str,ofs,dfs,sos
1,University of Virginia,D1,8.41,4.19,-4.23,66.11
2,University of Oklahoma,D1,8.05,4.00,-4.05,296.75
3,Baylor University,D1,8.05,4.03,-4.02,166.80
4,University of Southern California,D1,7.45,3.68,-3.77,89.08
5,University of Illinois,D1,7.14,3.56,-3.57,49.43
6,University of Georgia,D1,6.77,3.38,-3.39,90.22
7,Texas A&M University,D1,6.74,3.40,-3.34,104.03
8,TCU,D1,6.44,3.21,-3.22,101.79
9,UCLA,D1,6.40,3.18,-3.22,99.91
10,Ohio State University,D1,6.30,3.14,-3.16,28.22
11,Wake Forest University,D1,6.29,3.16,-3.13,31.38
12,Duke University,D1,6.22,3.10,-3.12,61.79
13,University of Texas,D1,6.21,3.10,-3.11,126.14
14,Virginia Tech,D1,6.09,3.06,-3.04,18.63
15,North Carolina,D1,6.04,3.02,-3.02,30.33
16,Columbia University,D1,5.99,2.95,-3.03,52.00
17,University of South Florida,D1,5.53,2.75,-2.78,25.80
18,Stanford University,D1,5.48,2.76,-2.72,36.11
19,University of Minnesota,D1,5.32,2.66,-2.65,22.49
20,California,D1,5.28,2.61,-2.67,39.62
21,University of Mississippi,D1,5.09,2.53,-2.56,52.92
22,University of Florida,D1,5.05,2.52,-2.53,98.29
23,Mississippi State University,D1,5.04,2.51,-2.53,17.56
24,Florida State University,D1,5.02,2.52,-2.50,41.80
25,Northwestern University,D1,4.97,2.50,-2.47,17.77
26,Texas Tech University,D1,4.90,2.42,-2.48,51.92
27,North Carolina State,D1,4.85,2.42,-2.43,14.51
28,University of San Diego,D1,4.75,2.37,-2.38,12.62
29,LSU,D1,4.73,2.37,-2.36,13.36
30,Vanderbilt University,D1,4.71,2.35,-2.36,32.13
31,University of Louisville,D1,4.68,2.36,-2.32,6.86
32,Oklahoma State University,D1,4.66,2.32,-2.34,19.94
33,University of Notre Dame,D1,4.48,2.26,-2.21,45.22
34,University of Tulsa,D1,4.42,2.23,-2.19,21.78
35,University of Oregon,D1,4.42,2.22,-2.20,14.03
36,Harvard University,D1,4.29,2.14,-2.15,13.29
37,Drake University,D1,4.05,2.00,-2.05,8.41
38,Tulane University,D1,4.03,2.01,-2.02,9.11
39,Georgia Tech,D1,3.99,2.00,-1.98,26.77
40,Princeton University,D1,3.95,1.96,-2.00,11.63
41,University of Tennessee,D1,3.82,1.91,-1.91,38.29
42,Cornell University,D1,3.82,1.90,-1.91,17.18
43,University of Washington,D1,3.78,1.90,-1.88,10.80
44,San Diego State University,D1,3.69,1.86,-1.83,9.99
45,University of South Carolina,D1,3.60,1.81,-1.80,24.45
46,Dartmouth College,D1,3.53,1.78,-1.75,21.76
47,University of Kentucky,D1,3.51,1.77,-1.73,9.86
48,SMU,D1,3.40,1.72,-1.68,2.25
49,University of Memphis,D1,3.34,1.65,-1.69,3.12
50,Indiana University-Bloomington,D1,3.30,1.63,-1.67,11.90
51,Old Dominion University,D1,3.27,1.64,-1.63,2.87
52,Rice University,D1,3.25,1.62,-1.63,17.97
53,Wichita State University,D1,3.22,1.61,-1.61,1.36
54,Clemson University,D1,3.20,1.58,-1.62,30.18
55,University of Denver,D1,3.17,1.59,-1.58,2.21
56,Hawaii Pacific University,D2,3.13,1.50,-1.63,0.30
57,Auburn University,D1,3.12,1.55,-1.57,11.74
58,Pepperdine,D1,3.10,1.54,-1.56,14.97
59,University of Alabama,D1,3.05,1.51,-1.54,3.84
60,University of New Mexico,D1,2.99,1.47,-1.51,9.05
61,Penn State University,D1,2.94,1.46,-1.48,14.67
62,East Tennessee State University,D1,2.89,1.43,-1.46,3.05
63,Univ. of Texas at San Antonio,D1,2.79,1.38,-1.41,5.81
64,Florida Gulf Coast University,D1,2.77,1.39,-1.38,2.00
65,Texas A&M-Corpus Christi,D1,2.71,1.36,-1.34,3.21
66,University of North Florida,D1,2.62,1.27,-1.35,3.60
67,University of Iowa,D1,2.61,1.33,-1.28,8.30
68,UC Santa Barbara,D1,2.57,1.30,-1.27,5.84
69,Troy University,D1,2.55,1.30,-1.25,2.21
70,Univ. of San Francisco,D1,2.43,1.19,-1.24,5.02
71,University of Michigan,D1,2.42,1.21,-1.21,42.75
72,UC Irvine,D1,2.41,1.19,-1.22,3.79
73,Barry University,D2,2.39,1.18,-1.22,0.18
74,Georgia Gwinnett College,NAIA,2.39,1.21,-1.18,0.12
75,University of Arkansas,D1,2.39,1.19,-1.20,6.38
76,Charlotte,D1,2.34,1.17,-1.18,0.80
77,Michigan State University,D1,2.31,1.16,-1.15,6.23
78,Boise State University,D1,2.22,1.09,-1.13,7.46
79,Brown University,D1,2.20,1.11,-1.08,2.55
80,St. John's University,D1,2.17,1.08,-1.09,2.18
81,UC Davis,D1,2.16,1.09,-1.07,1.70
82,Armstrong State University,D2,2.14,1.03,-1.11,0.25
83,University of South Alabama,D1,2.14,1.03,-1.11,2.24
84,UNLV,D1,2.13,1.08,-1.04,5.79
85,Cal Poly,D1,2.07,1.03,-1.04,4.70
86,Loyola Marymount University,D1,2.05,1.04,-1.01,3.65
87,Fresno State,D1,2.00,0.99,-1.01,4.04
88,University of Nebraska,D1,1.99,1.00,-0.99,8.91
89,University of Miami (Florida),D1,1.85,0.93,-0.91,29.78
90,University of Portland,D1,1.75,0.87,-0.88,2.05
91,University of Central Florida,D1,1.74,0.86,-0.88,3.64
92,"Univ. of Wisconsin, Green Bay",D1,1.73,0.87,-0.86,1.07
93,UNC Wilmington,D1,1.68,0.82,-0.87,2.87
94,Utah State University,D1,1.66,0.83,-0.83,1.21
95,Yale University,D1,1.65,0.83,-0.81,4.00
96,Middle Tennessee State University,D1,1.62,0.80,-0.82,2.12
97,Univ. of West Florida,D2,1.57,0.79,-0.77,0.16
98,University of Pennsylvania,D1,1.54,0.76,-0.78,3.94
99,College of William and Mary,D1,1.54,0.79,-0.75,0.84
100,University of Utah,D1,1.52,0.75,-0.77,9.33
101,University of Nevada,D1,1.51,0.73,-0.77,9.43
102,Coastal Carolina University,D1,1.49,0.76,-0.74,1.28
103,Virginia Commonwealth University,D1,1.45,0.70,-0.74,1.57
104,University of Arizona,D1,1.42,0.71,-0.70,14.71
105,University of Wisconsin,D1,1.31,0.66,-0.64,14.53
106,Florida Atlantic University,D1,1.23,0.63,-0.60,0.70
107,University of Texas at Arlington,D1,1.19,0.58,-0.61,6.27
108,Brigham Young University,D1,1.09,0.55,-0.54,4.25
109,"Univ. of Maryland, Baltimore County",D1,1.08,0.55,-0.53,0.40
110,University of Louisiana,D1,1.06,0.48,-0.58,3.90
111,Claremont-Mudd-Scripps Colleges,D3,1.04,0.51,-0.53,0.03
112,Concordia College (New York),D2,0.98,0.45,-0.52,0.01
113,Lamar University,D1,0.95,0.49,-0.45,0.99
114,Georgia State University,D1,0.94,0.47,-0.47,4.34
115,Furman University,D1,0.93,0.46,-0.47,4.35
116,George Washington University,D1,0.90,0.43,-0.46,3.44
117,University of Southern Mississippi,D1,0.88,0.40,-0.48,0.97
118,Lander University,D2,0.80,0.39,-0.41,0.13
119,University of the Pacific (California),D1,0.74,0.40,-0.34,5.36
120,South Carolina State,D1,0.70,0.35,-0.35,0.14
121,Vanguard University of Southern California,NAIA,0.67,0.36,-0.31,0.02
122,Auburn University Montgomery,NAIA,0.64,0.34,-0.30,0.01
123,Saint Leo University,D2,0.57,0.29,-0.28,0.35
124,College of Charleston,D1,0.48,0.25,-0.24,0.50
125,Stetson University,D1,0.46,0.24,-0.22,1.51
126,Northern Illinois University,D1,0.45,0.23,-0.23,0.31
127,Elon University,D1,0.42,0.22,-0.20,0.94
128,Western Michigan University,D1,0.42,0.22,-0.20,0.54
129,Marquette,D1,0.35,0.18,-0.17,1.26
130,Gonzaga University,D1,0.28,0.13,-0.15,1.46
131,University at Buffalo,D1,0.27,0.13,-0.14,1.33
132,Mercer University,D1,0.26,0.14,-0.12,1.64
133,Samford University,D1,0.22,0.10,-0.12,1.19
134,Santa Clara University,D1,0.20,0.10,-0.10,2.99
135,Binghamton University,D1,0.14,0.05,-0.09,3.53
136,Winthrop University,D1,0.12,0.05,-0.07,0.93
137,Illinois State University,D1,0.11,0.06,-0.05,1.89
138,Campbell University,D1,0.10,0.05,-0.05,0.40
139,DePaul University,D1,0.09,0.02,-0.07,1.00
140,Presbyterian College,D1,0.03,0.03,0.00,0.30
141,Lindsey Wilson (Ky.),NAIA,0.02,0.02,0.00,0.00
142,Appalachian State University,D1,-0.05,-0.05,0.00,0.55
143,Cleveland State University,D1,-0.06,-0.02,0.04,0.27
144,Georgia Southern University,D1,-0.09,-0.05,0.05,1.71
145,Wofford,D1,-0.10,-0.03,0.07,0.66
146,UAB,D1,-0.10,-0.04,0.06,2.22
147,Liberty University,D1,-0.12,-0.05,0.07,0.75
148,Purdue University,D1,-0.13,-0.07,0.06,18.12
149,Gardner-Webb University,D1,-0.17,-0.07,0.10,1.12
150,Grand Canyon University,D1,-0.21,-0.14,0.06,0.22
151,UNC Greensboro,D1,-0.23,-0.10,0.13,0.80
152,University of Richmond,D1,-0.23,-0.13,0.10,0.14
153,Kennesaw State University,D1,-0.25,-0.12,0.13,1.26
154,New Mexico State University,D1,-0.26,-0.18,0.08,0.97
