league_id,team_id,team_name
1,592,Abilene Christian University
1,1,Alabama A&M University
1,2,Alabama State University
1,3,Alcorn State University
1,4,American University*
1,5,Appalachian State University
1,7,Auburn University
1,8,Austin Peay State University
1,9,Ball State University
1,10,Baylor University
1,11,Belmont University
1,12,Bethune-Cookman University
1,1704,Binghamton University
1,14,Boise State University
1,15,Boston College
1,16,Boston University
1,18,Bradley University *
1,19,Brigham Young University
1,20,Brown University
1,610,Bryant University
1,21,Bucknell University
1,22,Butler University
1,24,Cal Poly
1,185,California
1,26,Campbell University
1,226,Charlotte
1,243,Chattanooga
1,31,Chicago State University
1,32,Clemson University
1,278,Cleveland State University
1,33,Coastal Carolina University
1,34,Colgate University
1,35,College of Charleston
1,37,College of William and Mary
1,4100,Colorado State University *
1,38,Columbia University
1,39,Coppin State College
1,40,Cornell University
1,41,Creighton University
1,42,Dartmouth College
1,43,Davidson College
1,44,Delaware State University *
1,45,DePaul University
1,46,Drake University
1,47,Drexel University
1,48,Duke University
1,49,Duquesne University
1,50,East Carolina University
1,51,East Tennessee State University
1,52,Eastern Illinois University
1,53,Eastern Kentucky University
1,4090,Eastern Michigan University *
1,55,Eastern Washington University
1,56,Elon University
1,57,Fairfield University
1,58,Fairleigh Dickinson University
1,59,Florida A&M University
1,60,Florida Atlantic University
1,770,Florida Gulf Coast University
1,4076,Florida International University (FIU) *
1,61,Florida State University
1,62,Fordham University
1,3386,Fresno City College
1,25,Fresno State
1,63,Furman University
1,644,Gardner-Webb University
1,64,George Mason University
1,65,George Washington University
1,66,Georgetown University
1,68,Georgia Southern University
1,69,Georgia State University
1,67,Georgia Tech
1,70,Gonzaga University
1,71,Grambling State University *
1,3806,Grand Canyon University
1,72,Hampton University
1,73,Harvard University
1,4066,High Point University *
1,75,Hofstra University
1,1722,Holy Cross
1,4115,Houston Baptist *
1,76,Howard University
1,77,Idaho State University
1,78,Illinois State University
1,79,Indiana State University *
1,80,Indiana University-Bloomington
1,4084,Iona College *
1,4061,Iowa State University *
1,652,IPFW
1,81,IUPUI
1,83,Jackson State University
1,84,Jacksonville State University
1,85,Jacksonville University *
1,86,James Madison University
1,4060,Kansas State *
1,3796,Kennesaw State University
1,87,La Salle University
1,88,Lafayette College
1,89,Lamar University
1,90,Lehigh University
1,91,Liberty University
1,92,Lipscomb University
1,4072,Long Beach State University *
1,4103,Long Island University (Brooklyn) *
1,665,Longwood University
1,4078,Louisiana Tech University *
1,94,Loyola College (Maryland)
1,95,Loyola Marymount University
1,4097,Loyola University Chicago *
1,93,LSU
1,96,Manhattan College
1,4085,Manhattan College *
1,97,Marist College
1,98,Marquette
1,4077,Marshall University *
1,4117,McNeese State University *
1,99,Mercer University
1,4091,Miami University (Ohio) *
1,100,Michigan State University
1,101,Middle Tennessee State University
1,102,Mississippi State University
1,3822,Mississippi Valley State University *
1,147,Missouri State University *
1,104,Monmouth University
1,168,Montana
1,105,Montana State University-Bozeman
1,106,Morehead State University
1,107,Morgan State University
1,108,Mount St. Mary's University
1,109,Murray State University
1,3829,"Nebraska, Omaha"
1,110,New Mexico State University
1,111,Niagara University
1,3671,Nicholls State University
1,681,NJIT
1,112,Norfolk State University
1,225,North Carolina
1,113,North Carolina A&T State University
1,683,North Carolina Central University
1,114,North Carolina State
1,4123,North Dakota State *
1,4079,North Texas University *
1,4074,Northeastern *
1,115,Northern Arizona University
1,116,Northern Illinois University
1,686,Northern Kentucky University
1,4118,Northwestern State University *
1,117,Northwestern University
1,4082,Oakland University *
1,118,Ohio State University
1,4092,Ohio University *
1,119,Oklahoma State University
1,120,Old Dominion University
1,121,Oral Roberts University
1,4109,Oregon State University *
1,122,Penn State University
1,123,Pepperdine
1,3766,Portland State University
1,125,Prairie View A&M University
1,694,Presbyterian College
1,126,Princeton University
1,4064,Providence College *
1,128,Purdue University
1,129,Quinnipiac University
1,130,Radford University
1,131,Rice University
1,132,Rider University
1,133,Robert Morris University *
1,1736,Rochester University*
1,134,Rutgers University *
1,23,Sacramento State
1,135,Sacred Heart University
1,151,Saint Joseph's University
1,136,Saint Louis University
1,152,Saint Mary's College of California
1,4119,Sam Houston State University *
1,137,Samford University
1,138,San Diego State University
1,4101,San Jose State *
1,139,Santa Clara University
1,4096,Savannah State *
1,3582,Savannah State University *
1,3800,Seattle University
1,4063,Seton Hall University *
1,141,Siena College
1,145,SMU
1,142,South Carolina State
1,709,South Dakota State
1,4106,Southeast Missouri State *
1,143,Southeastern Louisiana University *
1,144,"Southern Illinois, Carbondale"
1,712,"Southern Illinois, Edwardsville"
1,146,"Southern University, Baton Rouge *"
1,4021,Southern Utah University
1,148,St. Bonaventure University
1,279,St. Francis College (New York)
1,149,St. Francis Univ. (Pennsylvania)
1,150,St. John's University
1,1627,St. Paul's College
1,153,St. Peter's University
1,154,Stanford University
1,4120,Stephen F. Austin *
1,157,Stetson University
1,156,Stony Brook University
1,4058,Syracuse University *
1,163,TCU
1,158,Temple University
1,159,Tennessee State University
1,160,Tennessee Tech University
1,161,Texas A&M University
1,162,Texas A&M-Corpus Christi
1,4121,Texas Southern *
1,4128,Texas State University *
1,165,Texas Tech University
1,166,The Citadel
1,4073,Towson University *
1,174,Troy University
1,3813,Tulane University
1,176,U.S. Air Force Academy
1,177,U.S. Military Academy
1,178,U.S. Naval Academy
1,179,UAB
1,732,UC Davis
1,186,UC Irvine
1,277,UC Riverside
1,188,UC Santa Barbara
1,187,UCLA
1,217,UMKC
1,224,UNC Asheville
1,169,UNC Greensboro
1,227,UNC Wilmington
1,3820,Univ. of Arkansas Pine Bluff
1,182,"Univ. of Arkansas, Little Rock"
1,192,Univ. of Dayton
1,195,Univ. of Evansville *
1,201,Univ. of Illinois at Chicago
1,752,Univ. of Incarnate Word
1,211,Univ. of Maryland Eastern Shore
1,209,"Univ. of Maryland, Baltimore County"
1,4057,"Univ. of Massachusetts, Amherst *"
1,740,"Univ. of Massachusetts, Lowell *"
1,4111,"Univ. of Missouri, Columbia *"
1,4005,Univ. of North Dakota
1,747,Univ. of Northern Colorado
1,4099,Univ. of Northern Iowa *
1,237,Univ. of San Francisco
1,247,Univ. of Texas at San Antonio
1,254,"Univ. of Wisconsin, Green Bay"
1,4081,"Univ. of Wisconsin, Milwaukee *"
1,4102,Univ. of Wyoming *
1,1709,University at Buffalo
1,180,University of Alabama
1,181,University of Arizona
1,183,University of Arkansas
1,189,University of Central Florida
1,4108,University of Colorado *
1,191,University of Connecticut
1,193,University of Delaware
1,194,University of Denver
