player,team,str
Axel Alvarez Llamas,University of Oklahoma,11.267
Julian Lenz,Baylor University,9.083
Mackenzie McDonald,UCLA,9.033
Quentin Monaghan,University of Notre Dame,8.923
Stefan Lindmark,University of Mississippi,8.594
Noah Rubin,Wake Forest University,8.523
Farris Gosea,University of Illinois,8.484
Søren Hess-Olesen,University of Texas,8.066
Guillermo Nuñez,TCU,8.013
Paul Oosterbaan,University of Georgia,7.943
Tim Kopinski,University of Illinois,7.837
Sebastian Stiefelmeyer,University of Louisville,7.820
Ryan Shane,University of Virginia,7.770
Gonzales Austin,Vanderbilt University,7.708
Wayne Montgomery,University of Georgia,7.566
Eric Johnson,University of Southern California,7.552
Mikelis Libietis,University of Tennessee,7.528
Aron Hiltzik,University of Illinois,7.527
Nicolas Alvarez,Duke University,7.443
Chi-Shan Jao,Tulane University,7.375
Diego Hidalgo,University of Florida,7.353
Andrew Harris,University of Oklahoma,7.318
Jared Hiltzik,University of Illinois,7.311
Romain Bogaerts,Wake Forest University,7.227
Mike Vermeer,Columbia University,7.144
Brett Clark,North Carolina,7.113
Or Ram-Harel,University of Tulsa,7.083
Jeremy Efferding,Texas A&M University,7.055
Adrien Berkowicz,University of Texas,7.022
Max Lunkin,Texas A&M University,6.932
Clement Homs,University of Texas,6.930
Andre Goransson,California,6.922
Roberto Cid,University of South Florida,6.901
Arthur Rinderknech,Texas A&M University,6.838
Matic Spec,University of Minnesota,6.837
Bernardo Saraiva,Univ. of San Francisco,6.815
Austin Smith,University of Georgia,6.764
Ronnie Schneider,North Carolina,6.750
Arnau Dachs,TCU,6.736
Benjamin Lock,Florida State University,6.656
Mitchell Frank,University of Virginia,6.649
Dovydas Sakinis,Dartmouth College,6.646
JC Aragone,University of Virginia,6.580
Thai-Son Kwiatkowski,University of Virginia,6.575
Felipe Soares,Texas Tech University,6.574
Beck Pennington,University of Kentucky,6.555
Raphael Hemmeler,Duke University,6.494
Collin Altamirano,University of Virginia,6.488
Aleks Vukic,University of Illinois,6.430
Robert Kelly,North Carolina,6.385
Tomas Stillman,Univ. of Texas at San Antonio,6.353
Filip Vittek,University of San Diego,6.323
Dennis Mkrtchian,UCLA,6.323
