BEGIN
 year | div | div | won  | lost | tied | count 
------+-----+-----+------+------+------+-------
 2009 |   1 |   1 | 2605 | 2605 |    2 |  5234
 2009 |   1 |   2 |  122 |   89 |    0 |   213
 2009 |   1 |   3 |   63 |   20 |    0 |    83
 2009 |   1 |   7 |   27 |   12 |    0 |    39
 2009 |   1 |   9 |   15 |    2 |    0 |    17
 2009 |   1 |  13 |    1 |    0 |    0 |     1
 2009 |   1 | 991 |    1 |    0 |    0 |     1
 2009 |   2 |   2 | 1002 | 1002 |    2 |  2008
 2009 |   2 |   3 |  134 |  110 |    0 |   248
 2009 |   2 |   5 |    0 |    1 |    0 |     1
 2009 |   2 |   7 |  114 |   57 |    0 |   173
 2009 |   2 |   9 |   32 |   27 |    0 |    59
 2009 |   2 | 991 |    3 |    0 |    0 |     3
 2009 |   2 | 993 |    1 |    2 |    0 |     3
 2009 |   3 |   3 | 1740 | 1740 |    0 |  3488
 2009 |   3 |   7 |   72 |   58 |    1 |   132
 2009 |   3 |   9 |   10 |   13 |    0 |    23
 2009 |   3 |  13 |    1 |    1 |    0 |     2
 2009 |   3 | 991 |    1 |    1 |    0 |     2
 2009 |   3 | 993 |    2 |    0 |    0 |     2
 2009 |   4 |   4 | 2983 | 2983 |    2 |  6008
 2009 |   4 |   5 |  142 |   79 |    0 |   225
 2009 |   4 |   6 |   52 |   27 |    0 |    80
 2009 |   4 |   8 |   33 |   10 |    0 |    43
 2009 |   4 |  10 |    9 |    1 |    0 |    10
 2009 |   4 |  14 |    1 |    0 |    0 |     1
 2009 |   4 | 991 |    3 |    1 |    0 |     4
 2009 |   5 |   5 | 1378 | 1378 |    0 |  2760
 2009 |   5 |   6 |  144 |  124 |    0 |   268
 2009 |   5 |   8 |  135 |   72 |    0 |   207
 2009 |   5 |  10 |   37 |   17 |    0 |    56
 2009 |   5 |  12 |    3 |    0 |    0 |     3
 2009 |   5 |  14 |    1 |    0 |    0 |     1
 2009 |   5 | 991 |    1 |    0 |    0 |     1
 2009 |   6 |   6 | 2030 | 2095 |    0 |  4145
 2009 |   6 |   7 |    1 |    0 |    0 |     1
 2009 |   6 |   8 |   80 |   49 |    0 |   130
 2009 |   6 |  10 |    7 |   14 |    0 |    21
 2009 |   6 |  12 |    3 |    0 |    0 |     3
 2009 |   6 | 991 |    1 |    0 |    0 |     1
 2009 |   6 | 995 |    0 |    1 |    0 |     1
 2009 |   7 |   7 |   29 |   29 |    0 |    58
 2009 |   7 |   9 |    0 |    2 |    0 |     2
 2009 |   8 |   8 |   51 |   51 |    0 |   102
 2009 |   8 |  10 |    1 |    2 |    0 |     3
 2009 |  10 |  12 |    0 |    0 |    0 |     1
 2009 |  12 |  12 |    3 |    3 |    0 |     6
 2009 |  12 | 991 |    2 |    0 |    0 |     2
 2010 |   1 |   1 | 2460 | 2460 |    6 |  4966
 2010 |   1 |   2 |  130 |   89 |    0 |   220
 2010 |   1 |   3 |   65 |   24 |    0 |    90
 2010 |   1 |   7 |   46 |   17 |    0 |    63
 2010 |   1 |   9 |   17 |    2 |    0 |    19
 2010 |   1 |  13 |    2 |    0 |    0 |     2
 2010 |   2 |   2 | 1076 | 1076 |    4 |  2200
 2010 |   2 |   3 |  143 |  103 |    0 |   253
 2010 |   2 |   7 |  155 |   75 |    0 |   237
 2010 |   2 |   9 |   26 |   34 |    0 |    64
 2010 |   2 |  13 |    3 |    0 |    0 |     3
 2010 |   2 | 991 |    1 |    0 |    0 |     1
 2010 |   2 | 993 |    3 |    0 |    0 |     3
 2010 |   3 |   3 | 2092 | 2092 |   14 |  4308
 2010 |   3 |   7 |   81 |   72 |    1 |   164
 2010 |   3 |   9 |    8 |   14 |    0 |    22
 2010 |   3 |  13 |    3 |    2 |    0 |     5
 2010 |   3 | 991 |    2 |    0 |    0 |     2
 2010 |   3 | 993 |    1 |    0 |    0 |     1
 2010 |   4 |   4 | 2953 | 2953 |   10 |  5956
 2010 |   4 |   5 |  149 |   80 |    0 |   231
 2010 |   4 |   6 |   43 |   15 |    0 |    59
 2010 |   4 |   8 |   35 |   15 |    0 |    51
 2010 |   4 |  10 |   11 |    2 |    0 |    13
 2010 |   5 |   5 | 1488 | 1488 |    2 |  3050
 2010 |   5 |   6 |  141 |  119 |    3 |   275
 2010 |   5 |   7 |    1 |    2 |    0 |     3
 2010 |   5 |   8 |  193 |   62 |    0 |   259
 2010 |   5 |  10 |   27 |   17 |    0 |    46
 2010 |   5 | 991 |    0 |    0 |    0 |     1
 2010 |   6 |   6 | 2233 | 2233 |   10 |  4548
 2010 |   6 |   7 |    0 |    2 |    0 |     2
 2010 |   6 |   8 |   81 |   60 |    0 |   145
 2010 |   6 |  10 |    7 |   10 |    0 |    19
 2010 |   6 |  12 |    0 |    0 |    0 |     1
 2010 |   6 | 995 |    1 |    3 |    0 |     4
 2010 |   7 |   7 |  194 |  194 |    0 |   392
 2010 |   7 |   8 |    0 |    2 |    1 |     4
 2010 |   7 |   9 |    3 |   21 |    0 |    24
 2010 |   8 |   8 |  225 |  225 |    2 |   452
 2010 |   8 |  10 |    1 |    8 |    0 |     9
 2010 |   9 |   9 |   86 |   86 |    0 |   172
 2010 |   9 | 991 |    5 |    0 |    0 |     5
 2010 |   9 | 993 |    2 |    3 |    0 |     6
 2010 |  10 |  10 |  105 |  105 |    0 |   210
 2010 |  10 |  12 |    1 |    0 |    0 |     1
 2010 |  12 |  12 |   13 |   13 |    0 |    26
 2010 | 991 | 993 |    1 |    6 |    0 |     7
 2010 | 993 | 993 |   32 |   32 |    0 |    64
 2011 |   1 |   1 | 2604 | 2604 |    6 |  5262
 2011 |   1 |   2 |  163 |   68 |    0 |   236
 2011 |   1 |   3 |   43 |   17 |    1 |    63
 2011 |   1 |   5 |    1 |    0 |    0 |     1
 2011 |   1 |   7 |   42 |   17 |    0 |    59
 2011 |   1 |   9 |   13 |    9 |    0 |    23
 2011 |   1 | 994 |    1 |    0 |    0 |     1
 2011 |   2 |   2 | 1054 | 1054 |    0 |  2208
 2011 |   2 |   3 |  140 |  103 |    0 |   256
 2011 |   2 |   7 |  156 |   64 |    2 |   227
 2011 |   2 |   9 |   24 |   29 |    0 |    54
 2011 |   2 | 991 |    3 |    0 |    0 |     3
 2011 |   2 | 993 |    1 |    0 |    0 |     1
 2011 |   3 |   3 | 2050 | 2050 |    8 |  4212
 2011 |   3 |   7 |   69 |   73 |    0 |   152
 2011 |   3 |   9 |   11 |    8 |    0 |    19
 2011 |   3 |  13 |    6 |    0 |    0 |     6
 2011 |   3 | 991 |    2 |    0 |    0 |     2
 2011 |   4 |   4 | 3010 | 3010 |    8 |  6106
 2011 |   4 |   5 |  166 |   74 |    2 |   254
 2011 |   4 |   6 |   56 |   12 |    0 |    72
 2011 |   4 |   8 |   44 |   15 |    0 |    60
 2011 |   4 |  10 |   14 |    9 |    0 |    23
 2011 |   5 |   5 | 1438 | 1438 |   30 |  3032
 2011 |   5 |   6 |  136 |   94 |    1 |   245
 2011 |   5 |   7 |    1 |    2 |    0 |     3
 2011 |   5 |   8 |  177 |   60 |    1 |   247
 2011 |   5 |  10 |   25 |   17 |    0 |    46
 2011 |   6 |   6 | 2057 | 2057 |    6 |  4210
 2011 |   6 |   8 |   63 |   53 |    0 |   121
 2011 |   6 |  10 |   16 |    8 |    0 |    24
 2011 |   6 | 995 |    2 |    0 |    0 |     2
 2011 |   7 |   7 |  254 |  254 |    0 |   524
 2011 |   7 |   8 |    5 |    5 |    0 |    11
 2011 |   7 |   9 |   10 |   18 |    0 |    31
 2011 |   8 |   8 |  264 |  264 |    0 |   544
 2011 |   8 |  10 |    8 |   24 |    0 |    36
 2011 |   9 |   9 |  161 |  161 |    0 |   332
 2011 |   9 |  13 |    2 |    1 |    0 |     3
 2011 |   9 | 991 |    4 |    0 |    0 |     4
 2011 |   9 | 993 |    5 |    0 |    0 |     5
 2011 |  10 |  10 |  185 |  185 |    2 |   388
 2011 |  10 |  12 |    1 |    0 |    0 |     1
