player,str
Axel Alvarez Llamas,8.704
Guillermo Nuñez,7.736
Gonzales Austin,7.646
Mikelis Libietis,7.585
Jared Hiltzik,7.568
Mackenzie McDonald,7.474
Collin Altamirano,7.447
Julian Lenz,7.175
Mitchell Frank,7.098
Andrew Harris,6.884
Søren Hess-Olesen,6.694
Martin Redlicki,6.626
Quentin Monaghan,6.575
Simon Stevens,6.511
Ryan Shane,6.382
Nik Scholtz,6.330
Aleks Vukic,6.323
Sebastian Stiefelmeyer,6.274
Tim Kopinski,6.051
Diego Hidalgo,6.040
Brett Clark,6.021
Noah Rubin,5.971
Eric Johnson,5.947
Nicolas Alvarez,5.938
Romain Bogaerts,5.852
Dane Webb,5.824
Roberto Quiroz,5.754
Florin Bragusi,5.681
Arthur Rinderknech,5.578
Jeremy Efferding,5.564
Mike Vermeer,5.543
Alexandru Ghilea,5.538
Ronnie Schneider,5.518
Jack Murray,5.507
Yannick Hanfmann,5.459
Winston Lin,5.445
Tony Lupieri,5.426
Max de Vroome,5.384
Shane Vinsant,5.359
Nick Chappell,5.352
Andreas Bjerrehus,5.348
Lloyd Glasspool,5.341
Dominik Koepfer,5.321
Tomas Stillman,5.281
Thai-Son Kwiatkowski,5.274
Mate Zsiga,5.235
Marko Lovrinovic,5.233
Adrien Berkowicz,5.194
Beck Pennington,5.151
Robbie Mudge,5.149
Tin Ostojic,5.133
Raphael Hemmeler,5.131
Jordi Massalle Ferrer,5.111
Tom Fawcett,5.105
JC Aragone,5.073
Carlos Lopez Villa,5.069
Daniel Valent,5.055
Peter Nagy,5.047
Clement Homs,5.044
Dennis Mkrtchian,5.021
Naoki Takeda,4.976
Sam Shropshire,4.974
Robert Kelly,4.972
Hunter Callahan,4.949
Or Ram-Harel,4.925
Maxime Tchoutakian,4.925
Chris Diaz,4.923
Leandro Toledo,4.912
Jordi Vives,4.893
Denis Nguyen,4.877
Jordan Daigle,4.855
Lucas Gerch,4.839
Mikael Torpegaard,4.818
Hunter Koontz,4.801
Wayne Montgomery,4.797
Florian Lakat,4.787
Benjamin Lock,4.775
Roberto Cid,4.771
Bernardo Saraiva,4.721
Nick Crystal,4.699
Ace Matias,4.691
Matic Spec,4.681
Jake Douglas,4.664
Daniel Leitner,4.641
Dovydas Sakinis,4.624
Daan Maasland,4.622
Strong Kirchheimer,4.620
Chris Mengel,4.616
Amerigo Contini,4.605
Daniil Gerasimov,4.572
Andre Goransson,4.558
Aron Hiltzik,4.555
Arnau Dachs,4.544
Jonathan Ho,4.534
Mariano Porter,4.508
Elliott Orkin,4.498
Austin Smith,4.482
Jordan Angus,4.481
Filip Vittek,4.477
Michael Rinaldi,4.476
Ralf Steinbach,4.464
Jakob Sude,4.448
Lukas Ollert,4.448
Diego Vives,4.436
AJ Catanzariti,4.421
Filip Bergevi,4.419
David Wilczynski,4.374
Max Lunkin,4.364
Beck Bond,4.361
Marko Goles-Babic,4.303
Freddy Gelbrich,4.291
Stefan Lindmark,4.273
Jonny Wang,4.270
Alen Salibasic,4.248
Albert Wagner,4.246
Nathan Pasha,4.236
Nick Wood,4.219
Spencer Papa,4.195
Edoardo Tessaro,4.190
John Morrissey,4.170
Felipe Rios,4.169
Felipe Soares,4.155
Ben Davis,4.149
Chase Perez-Blanco,4.136
Nicky Hu,4.132
Michael Voscek,4.120
Kevin Metka,4.100
Chris Simpson,4.084
Zack McCourt,4.072
Mate Cutura,4.057
Samm Butler,4.056
Ashok Narayana,4.047
Gordon Watson,3.996
Ryoto Tachi,3.975
Jack Findel-Hawkins,3.960
Bruno Semenzato,3.959
Alex Gornet,3.947
Alejandro Espejo,3.946
Ilya Osintsev,3.943
Uros Petronijevic,3.942
Cameron Norrie,3.939
Alejandro Llamas,3.938
Gregory Bayane,3.919
Joao Monteiro,3.906
Vince Schneider,3.903
Connor Glennon,3.853
Giammarco Micolani,3.827
Michael Zhu,3.826
Jason Tahir,3.818
Aaron Gomez,3.815
Max Schmidt,3.809
Gal Hakak,3.806
Diogo Rocha,3.766
Toshiki Matsuya,3.760
Facundo Lugones,3.731
Tristan Meraut,3.721
Tito Moreiras,3.720
Stjepan Sisko,3.717
Alex Braun,3.715
Hassan Ndayishimye,3.688
Randy Phillips,3.673
Simon Norenius,3.668
Karue Sell,3.666
Christopher Eubanks,3.659
Nick Bybel,3.653
Felix Corwin,3.652
Catalin Fifea,3.644
Alex Galoustian,3.634
Dusty Boyer,3.617
Austin Powell,3.612
Trent Botha,3.611
Jake Albo,3.596
Chris Simich,3.596
Ryan Peniston,3.593
Diego Galeano,3.592
Henrik Wiersholm,3.581
Dragos Ignat,3.578
