player,str
Andrew Watson,3.570
Rishab Agarwal,3.557
Kenny Sabacinski,3.550
Bernardo Casares Rosa,3.539
Sasha Gozun,3.531
Mitch Stewart,3.530
Thomas Colautti,3.529
David Biosca,3.501
Constantin Schmitz,3.492
Jerry Lopez,3.488
Michael Weindl,3.482
Max Andrews,3.481
Piotr Lomacki,3.479
Daniel Sardu,3.457
Leonard Stakhovsky,3.457
Guilherme Hadlich,3.456
Mads Engsted,3.445
James Wade,3.441
Kamil Khalil,3.438
Jorg Van Der Vloet,3.433
Juan Cruz Estevarena,3.430
Farris Gosea,3.424
Moez Chargui,3.422
Maxime Hinnisdaels,3.408
Boris Arias,3.407
Marko Krickovic,3.402
Brian Yeung,3.400
Marco Nunez,3.399
Garrett Patton,3.390
Ravi Patel,3.389
Daniel Bednarczyk,3.388
Srikar Alla,3.385
Robert Stineman,3.384
Sebastian Heim,3.375
Ashot Khacharyan,3.373
Jacob Dunbar,3.360
Hugo Dojas,3.359
Runhao Hua,3.355
Juan Moreiras,3.351
Eric Diaz,3.340
Jolan Cailleau,3.331
Josef Dodridge,3.327
Hendrik Jebens,3.317
William Bushamuka,3.306
Alex Steinroeder,3.285
Jose Antonio Salazar,3.260
Kyle Koch,3.242
Kevin Farin,3.230
Carlos Bautista,3.226
Ethan Dunbar,3.224
Jose Gracia,3.224
Henry Craig,3.222
Jayson Amos,3.212
Linus Erhart,3.203
Carlos Benito,3.203
Arjun Kadhe,3.195
Christian Seraphim,3.183
Josh Hagar,3.183
Oliver Pramming,3.171
Ben Lott,3.161
Rogerio Ribeiro,3.147
Andres Alfonzo,3.144
Yannick Born,3.139
Nicolas Podesta,3.134
Paul Oosterbaan,3.132
Alex Sendegeya,3.131
George Goldhoff,3.127
Matt Hagan,3.110
Luis Valero,3.105
Tim Srkala,3.086
Justin Butsch,3.085
Maksim Kan,3.078
Chris Kipouras,3.074
Korey Lovett,3.059
Luca Corinteli,3.051
Skander Mansouri,3.039
Fedor Baev,3.013
Markus Schultz,3.012
Haris Poric,3.008
Ettore Zito,3.004
Herkko Pollanen,2.998
Van Damrongsri,2.995
Ben Wagland,2.994
Oskar Wikberg,2.994
Patrick O'Keefe,2.993
Alex Fennell,2.993
Pedro Iamachkine,2.987
Michael Tenzer,2.964
Matt Barry,2.962
Sebastian Rey,2.959
Zach Mueck,2.942
Cristian Gonzalez Mendez,2.941
Chris Vrabel,2.915
Ben Donovan,2.913
Rhys Johnson,2.909
Sam Monette,2.896
Steffen Dierauf,2.895
James Tallman,2.894
Danny Kerznerman,2.883
Jordi Arconada,2.879
Mac Styslinger,2.877
Kenny Tao,2.875
Logan Staggs,2.875
Harry Jadun,2.874
Juan Benitez,2.873
Andrew Schafer,2.871
Morgan Mays,2.854
Jannis Koeke,2.848
Nicolai Ferrigno,2.839
Will Stein,2.833
Yannik James,2.831
Jai Corbett,2.814
Alex Arovin,2.793
Ristomatti Lanne,2.793
TJ Pura,2.782
Harrison O'Keefe,2.778
Jack Schipanski,2.777
Dennis Baumgartner,2.774
Nathan Ponton,2.772
Guillermo de Vilchez,2.769
Michal Kianicka,2.767
Stefan Fortmann,2.765
Marc Hermann,2.741
Andrey Goryachkov,2.740
Julian Cash,2.730
Alexander Ritschard,2.726
Hunter Harrington,2.721
Josh Silverstein,2.721
Thorsten Bertsch,2.714
Gustav Hansson,2.710
Nate Lammons,2.706
Cole Fiegel,2.704
Ruben Weber,2.695
Austin Siegel,2.695
Gage Brymer,2.692
Nikolas Papic,2.682
Konrad Zieba,2.671
Landon Barlow,2.670
Erick Reyes,2.665
Sven Lalic,2.663
Vadym Kalyuzhnyy,2.659
Rob Galloway,2.652
Hunter Reese,2.650
David Warren,2.650
Jonathan Gonzalez,2.646
Alex Van Cott,2.645
Billy Pecor,2.642
Ignacio Gonzalez-Muniz,2.637
Nolan Paige,2.636
Christoffer Greve,2.636
Alp Horoz,2.636
Eduardo Mena,2.633
Antonio Rodriguez,2.623
Robert Livi,2.622
Mihir Kumar,2.612
Trevor Johnson,2.608
Sam Matheson,2.588
Raheel Manji,2.588
Andrei Morin-Kougoucheff,2.582
Ritchie KRUUNENBURG,2.581
Nick Naumann,2.577
Oystein Steiro,2.574
Jaan Kononov,2.570
Garrett Auproux,2.566
Eric Schnurrenberger,2.557
Elijah Melendez,2.556
Gabriel Dias,2.553
Adam Moundir,2.549
Victor Cornea,2.546
Jonny Rigby,2.534
Arvis Berzins,2.533
Mitch McDaniels,2.522
Thomas Tenreiro,2.512
Miguel Diaz,2.508
Nikko Madregallejo,2.502
Aws Laaribi,2.497
Dan Richardson,2.492
Parker McGuinness,2.475
Lucas Hejhal,2.470
Ilija Cuic,2.467
Hayden Sabatka,2.466
Brett Forman,2.466
Lauri Makikalli,2.465
Tomas Hanzlik,2.461
Luke Johnson,2.457
Lucas Andersen,2.449
Bert Vancura,2.447
Caryl Hernandez,2.447
Forrest Edwards,2.437
Robin Riethmueller,2.432
Chi-Shan Jao,2.430
Lefteris Theodorou,2.429
J.T. Nishimura,2.425
Arturs Kazijevs,2.423
Ricky Ventura,2.420
Ross Guignon,2.412
Brett Bacharach,2.412
Trey Yates,2.408
Ciro Riccardi,2.402
Blake Bazarnik,2.386
Vasileous Stavropolous,2.380
Dominic Patrick,2.378
Michail Pervolarakis,2.376
Peter Tarwid,2.375
Danil Zelenkov,2.371
Peter Bertran,2.364
Ryan Andrada,2.357
Sam Edwards,2.352
Shawn Hadavi,2.351
Josh Pompan,2.351
Oleksly Arovin,2.346
Vinod Gowda,2.344
Justin To,2.341
Charles Boyce,2.341
Oliver Landert,2.340
Vaidik Munshaw,2.339
Francis Sargeant,2.334
Alejando Augusto,2.332
Greg Garcia,2.330
Justin Roberts,2.328
Shane Monroe,2.328
Alex Lawson,2.327
Carlos Arbiza,2.324
Rakshay Thakkar,2.316
Ismael Merino,2.307
Thomas Weigel,2.304
Esben Hess-Olesen,2.290
Denys Pume,2.290
Matthew Kirby,2.290
Simon Pritchard,2.285
Harrison Kennedy,2.271
Diego Acosta,2.266
Alex Gasson,2.256
Arkadijs Slobodkins,2.255
Mitchell Pritchard,2.255
Tianyu Bao,2.255
Soufiane Mouline,2.251
Jeremy Court,2.238
Dan Elston,2.228
Richard Robbie,2.228
Adam Gustafsson,2.222
Leonard Ivic,2.219
Brandon Yeoh,2.216
Becker O'Shaughnessey,2.213
Dante Saleh,2.206
Santtu Leskinnen,2.205
Leopold Gomez Islinger,2.205
Mauricio Antun,2.199
Javier Jover Maestre,2.182
Adrian Ortiz-Ruiz,2.179
Samir Iftikhar,2.178
Slim Hamza,2.170
Howard Scott,2.169
Alvaro Nazal,2.163
Chris Barrus,2.161
David Herrerias,2.158
Mikheil Khmiadashvili,2.147
Zvonimir Podvinski,2.145
Rob Bellamy,2.132
Vikram Hundal,2.131
Nico Mertens,2.129
Josh Zeoli,2.124
Sebastian Beltrame,2.121
Gijs Linders,2.120
David Hsu,2.118
Colin Sinclair,2.117
Milen Ianakiev,2.110
Mac Roy,2.104
Tom Hill,2.095
Carter Lin,2.090
Giovani Samaha,2.089
Christian Harris,2.082
Daniel Santos,2.081
Lukas Finzelberg,2.080
Daniel Armengol,2.076
Stuart Kenyon,2.076
Kyle Barnes,2.071
Kevin Bettendroffer,2.063
Francesc Aulina,2.060
Martin Svenning,2.052
Arthur Weber,2.048
Patriek Wolterbeek,2.045
Adrian Legarreta,2.035
Tyler Lu,2.033
Daniel Fernandez,2.029
Maik Steiner,2.014
Maxx Lipman,2.004
Jeremy Lynn,2.004
Austin Akers,1.999
Jabor Al-Mutawa,1.993
Martin Figura,1.990
Nathan Eshmade,1.989
Kai Lemke,1.985
Alex Knight,1.973
Jack Hamburg,1.970
Eduardo Segura,1.960
Walid Gtari,1.958
John Mee,1.954
Calum MacGeoch,1.953
Florian Nicoud,1.947
Andrew Nakajima,1.943
Max Schnur,1.943
Tobias Galskov,1.942
Jurence Mendoza,1.941
Hayden Smith,1.938
Matt Frost,1.938
Tuki Jacobs,1.935
Christiaan Van der Burgh,1.914
Viktor Farkas,1.912
Andrew Poustie,1.906
Cody Rakela,1.906
Daffra Sanon,1.905
Andrew Adams,1.902
Jay Leelavanich,1.899
Simon Freund,1.893
Jan Dernic,1.893
Stefan Vinti,1.891
Jeffrey Schorsch,1.890
Eddy Covalschi,1.883
Luis Elizondo,1.880
Michael Kay,1.879
Michael Riechmann,1.874
Emmett Egger,1.869
Wilder Pimentel,1.868
Brad Marriott,1.868
Karan Salwan,1.867
Josh Levine,1.862
Zach Berry,1.858
Tyler Pham,1.854
Brent Lett,1.851
Tremayne Mitchell,1.851
Andrew Korinek,1.835
Stefan Menichella,1.835
Johan den Toom,1.832
João Gauer,1.831
Geoffrey Fosso,1.824
Blaine Willenborg,1.821
Arsav Mohanty,1.819
Suresh Eswaran,1.815
Oliver Casey,1.806
Alexander Day,1.802
Tomislav Gregurovic,1.797
Rodney Carey,1.789
Eliott Hureau,1.786
Billy Griffith,1.782
Jonathan Hannestad,1.777
Jamie Malik,1.769
Marc Collado Castells,1.765
Davis Crocker,1.763
Alejandro Bejar,1.760
Jefta Kecic,1.759
Joshua Yablon,1.755
Daniel Kripak,1.754
Cedric Willems,1.754
Shamael Chaudhry,1.751
Sergio de Vilchez,1.745
Henrique Tsukamoto,1.744
Eric Komati,1.742
Florian Kraenzler,1.741
Wilfredo Gonzalez,1.740
Ricardo Jorge,1.739
Cameron Green,1.735
Jaime Barajas,1.733
Errol Smith,1.731
Will Neuner,1.731
Ricardo Mayagoitia,1.715
Zack Lewis,1.714
Frederic Cadieux,1.714
Kaue Pereira,1.709
Euan Mcintosh,1.708
Zachary Goldberg,1.707
Nikita Lis,1.702
Sam O'Neill,1.699
Kian McLean,1.699
Joe VanMeter,1.696
Martin Figura,1.693
Jonathan Walker,1.692
Nils Skajaa,1.689
Luca Marquard,1.686
Joseph Di Giulio,1.681
Nils Schuhmann,1.681
Julian Bradley,1.680
Santiago Munoz,1.677
Jeffrey Brown,1.675
Renier Moolman,1.670
Ben Mullis,1.670
Christian Cargill,1.670
Ryan Smith,1.668
Francisco Zambon,1.665
Marko DeSomocurcio,1.660
Alex Petrone,1.648
Nikhil Jayashankar,1.646
Jake Wynan,1.638
Rafael Davidian,1.637
Loic Blanco,1.633
Jeremy Nuss,1.627
Thibault Forget,1.624
Jess Jones,1.621
Sam Bertram,1.612
Yannick Junger,1.611
Nicolas Soriano,1.609
Duk Young-Park,1.598
Luke Gamble,1.586
Terrance Whitehurst,1.586
Jakob Amilon,1.585
Matthew McCoy,1.581
Austin Rapp,1.579
Thomas Takemoto,1.573
Christian Langmo,1.571
Dylan McCloskey,1.570
Tam Trinh,1.568
Adrien Rossignon,1.568
Stefan Doehler,1.567
Pablo Moreno,1.566
Ruben Greiner,1.565
Andres Alban,1.564
Odon Barta,1.560
Christian Coetzee,1.555
? Amare,1.553
Jonny Cornish,1.553
Terrell Whitehurst,1.550
Ruben Alberts,1.543
Romain Kalaydjian,1.542
Adam Steryous,1.541
Sam Fleck,1.535
Philippe Tsangaridis,1.531
Bernard Wezeman,1.518
Dimitar Ristovski,1.517
Guillaume Rauseo,1.517
Michael Feucht,1.512
Jordan Kaufman,1.509
Christian Waldron,1.508
Cormac Clissold,1.506
Vukasin Teofanovic,1.504
Connor Thompson,1.504
Michael Lippens,1.504
Markus Kerner,1.500
Zvonimir Babic,1.493
Pablo Alvarez,1.490
Baker Newman,1.473
Dylan Gee,1.471
Jonathan Poon,1.470
Xabier Saveedra,1.469
Damon Niquet,1.465
Shuhei Shibahara,1.461
Jordan Belga,1.458
Everett Maltby,1.455
Ben Stride,1.455
Nikita Zverkov,1.452
Charles Minc,1.447
Scott Webster,1.439
Victor Brown,1.436
Carlos Manzanas,1.436
Sumeet Shinde,1.433
Jocelyn Devilliers,1.432
Stuart Tierney,1.431
Corey Pang,1.430
William Kallberg,1.428
Wendell Watanabe,1.424
Daniel McCall,1.419
Mathieu Garcia,1.417
Ignacio Jiminez,1.416
Dave Bacalla,1.411
Michael Beiler,1.409
Dylan Comerford,1.409
Nick Horton,1.408
Freddie McGeehan,1.402
Jake Jacoby,1.394
Alexandr Rudenco,1.392
Chao-Yu Huang,1.391
Sam Williams,1.391
Aaron Chaffee,1.389
Maciek Romanowicz,1.385
Jared Madison,1.382
Brandon Sutter,1.378
Daniel Morgan,1.376
Dylan Hansel,1.359
Andrew Gores,1.352
Nicolas Rakitin,1.350
Jovan Parlic,1.345
Francisco Dias,1.344
Grant Solomon,1.342
Kris Yee,1.341
Peter Beatty,1.338
Vasco Valverde,1.333
Pierre Garcia,1.324
Erik Johnsson,1.323
Fernando Sala,1.319
Nico Agritelley,1.319
Zandrix Acob,1.315
Kial Kaiser,1.314
Chris Hobgarski,1.308
Augustus Ge,1.308
Zackery Kennedy,1.306
Blake Gregor,1.302
Artem Khrapko,1.301
Johan Jonhagen,1.298
Andre Napolitana,1.295
Ricky Medinilla,1.294
Bayo Philips,1.292
Lars De Boer,1.287
Jason Jaruvang,1.286
Bryce McKelvie,1.280
Austin Ansari,1.279
Brayden Schnur,1.279
Joan Carles Alcala,1.278
Kevin Lai,1.272
Felix Schueller,1.271
Jeff Offerdahl,1.268
Cristobal Rivera,1.267
Jeremy Kochman,1.265
Nick Dykema,1.265
Alexandr Cozbinov,1.264
Max Fliegner,1.263
Diego Pedraza,1.259
Ivan Kravtchenko,1.259
David Fox,1.256
Vladimir Mijatovic,1.256
Rob Mitchell,1.254
Trey Carter,1.251
Melker Svard,1.241
Alex Croker,1.238
Charlie Nettlefold,1.238
Alex Araouzos,1.232
Yannick Zuern,1.231
Sebastian Yllera,1.231
Inaki Espindola,1.231
Mehdi Mekaoui,1.230
Rick Delboi,1.218
Brendan Tannebaum,1.215
Rishabh Raman,1.213
Ismael Dinia,1.213
Mathieu Froment,1.209
Rodrigo Encinas,1.204
Miroslav Herzan,1.202
Steven Billington,1.201
Sam Philp,1.198
Gian Issa,1.191
Benny Schweizer,1.191
Adam Glynn,1.191
Felipe Fonseca,1.190
Xavier Gonzalez,1.188
Lautaro Pane,1.187
Felix Van Kann,1.187
Sofiane Chevallier,1.180
Hampton Drake,1.179
Nathan Rakitt,1.175
Thiago Pinheiro,1.162
Vuk Velickovic,1.158
Austin Jones,1.151
Nicolas Montoya,1.149
Matt Kuhar,1.147
Jose Sangroniz,1.145
Keivon Tabrizi,1.143
Zach Hublitz,1.141
Michael Moya,1.139
Jeff Hawke,1.138
Andres Torres,1.133
Daryl Monfils,1.133
Tim Kane,1.133
Charlie Ghriskey,1.131
Jorge Escutia,1.130
Christopher Geaslen,1.126
Richard Sec,1.123
Robin Haden,1.111
"STEMPIEN, Krzystof",1.103
Tomas Pitra,1.101
Andrei Andrukhou,1.097
James Hignett,1.095
Sebastian Ermicioiu,1.094
Vasily Kichigin,1.092
Donovan McSeveney,1.087
Kert Kilumets,1.082
Aaron Sandberg,1.080
Branch Terrell,1.079
Ramon Simonetti,1.079
Fernando Sunago,1.078
Jacob Perkins,1.072
Eli Whittle,1.070
Aleksas Tverijonas,1.068
Norbert Nemcsek,1.066
Andranik Khachatryan,1.064
Nicky Wong,1.062
Nick Kamisar,1.051
Eric Perez,1.046
Jose Chamba,1.046
Charlie Emhardt,1.041
Alec Adamson,1.039
Alex Gaines,1.039
Alejandro Manzanares,1.039
Ian Dempster,1.036
Alex Van Velzer,1.029
Juan Matias Gonzalez,1.026
Caio Gomes,1.021
Axel Damiens,1.014
Robert Dula,1.011
Stieg Martens,1.010
Sean Kolar,1.006
Xander Veys,1.003
Washi Gervais,0.999
Brian Page,0.997
Patrick Pfister,0.997
William Albanese,0.996
Daniel Casablancas,0.994
Diogo Casa,0.991
Alex Hamilton,0.987
Michael Carella,0.986
Joat Farah,0.984
Connor Curry,0.983
Brian Foley,0.983
Kieran Cronin,0.981
Nils Ellefsen,0.980
Joshua Wardell,0.975
Mikhail Esipov,0.973
Karlyn Small,0.972
Jacob Behal,0.968
Shoti Meparizde,0.960
Gustavo Gonzalez,0.954
David Mushayev,0.953
Sebastian Mueller,0.953
Pascal Domnik,0.953
Bart Van Leijsen,0.952
Albert Codina Sala,0.950
Will Baird,0.949
Sten Leusink,0.945
Stefan Burnett,0.945
Toby Mitchell,0.945
Naveen Beasley,0.943
Alberto De Meo,0.940
Calvin Mark,0.940
Jakub Gewert,0.938
Jorge Azuero,0.934
Sebastian Schneider,0.934
Dillon Segur,0.928
Remi Chancerel,0.925
Oliver Plaskett,0.925
Diego Manzanas,0.924
Daniel Alameh,0.918
Cristobal Ramos Salazar,0.918
Daniel Mack,0.915
Niklas Brandes,0.912
Sidhartha Hazarika,0.911
Jacob Sullivan,0.898
Hayes Brewer,0.895
Elio Livi,0.894
Gus Benson,0.890
Tassilo Schmid,0.889
Victor Pugliese,0.887
Josh Schramm,0.884
Lasse Muscheites,0.873
"STEMPIEN, Krzyzstof",0.867
Jonathan Hammel,0.860
Korhan Ates,0.860
Rodrigo Oliveira,0.856
William East,0.852
Jamie Fisher,0.850
Romain Lefevre,0.845
Riley Reist,0.845
Jakub Vitek,0.834
Ben Kelley,0.834
Sebastian Acuna,0.833
Germain Degardin,0.832
Saxon Beuhning,0.831
Daniel Zheng,0.827
Sawyer Fonda,0.825
Simon Formont,0.824
Aries Wong,0.822
Aaron Jumonville,0.817
Doug Zade,0.812
Brendon Kempin,0.812
Lukas Shaefer,0.804
Andrew Dromsky,0.803
Eduardo Irizarry,0.802
Ziqi Wang,0.791
Bernard Tefel,0.790
Sai Kartik Nakireddi,0.789
Robert Stirling,0.785
Juan Cruz Soria,0.783
Dima Zyhmantovich,0.775
Alex VanVelzer,0.775
Semion Branzberg,0.774
Mateus Silva,0.770
Sam Lampman,0.768
Shaun Chaudhuri,0.765
Matt Mendez,0.764
Calum McKinlay,0.762
Laurynas Antropikas,0.758
Ray Leonard,0.756
Jakub Eisner,0.752
Dragos Puscalau,0.743
Igor Smelyanski,0.741
Vim De Alwis,0.739
Jefferson Wendler-FIlho,0.738
Adam Reinhart,0.738
Mark Kovacs,0.734
Gerard Guell,0.733
Simon Julin,0.731
Daniel Bustamante,0.728
Andres Cobos,0.725
Lamar Remy,0.723
Przemyslaw Filipek,0.717
Ari Richman,0.716
Edgar Lopez,0.716
Juan Madrid,0.709
Joao Barra,0.709
Muddappa Appanervanda,0.704
Jordan Gobatie,0.695
Mark Singnil,0.694
Vladyslav Yanchenko,0.694
Mohamed El Tonbari,0.693
Mitchell Cook,0.692
Nicholas Osterling,0.692
John Zordani,0.692
Daniel Yun,0.691
Tony Miller,0.689
Rafael Orantes,0.683
Patrick Elliott,0.682
Jesse Flores,0.682
Jacob Svensson,0.681
Justin Ghavami,0.676
Ben Horst,0.675
Shoki Kasahara,0.674
Daniel Ginzburg,0.674
Othar Kordsachia,0.668
Chris Angulo,0.663
Ben Davies,0.660
Tanner Smith,0.660
Dougie Barnard,0.657
Julian Rozenstein,0.656
Damian Farinola,0.655
Sam Bloom,0.651
Joey Swaysland,0.650
Peter Minagh-Fleming,0.640
Harrison Adams,0.639
Joseph Van Dooren,0.635
Juan Canales,0.633
Robert Dubuque,0.633
Gabriel Ruiz,0.629
Ramon van Flymen,0.624
Eric Frueh,0.619
Lee-Shawn Stein,0.618
Manuel Bellutti,0.611
Nash Vollenwider,0.609
Javier Martin-Morillas,0.608
Wen-Po Tseng,0.607
Sam Todd,0.606
Blake Anthony,0.606
Artemie Amare,0.605
Sem Verbeek,0.601
Justin Carter,0.599
Dylan Brown,0.594
Egon Samaai,0.593
Grant Riechmann,0.592
Eduardo Alfonzo,0.585
Carsten Fisher,0.575
Andrew Stutz,0.574
Brice Allanic,0.574
Stefan Jakubov,0.570
Raphael Termat,0.567
David Ball,0.567
Rodolfo Jauregui,0.567
Todd Fought,0.566
Koby Jansen,0.564
Kristiyan Trukov,0.561
Rudolf Kurz,0.560
Vasudev Vijayaraman,0.556
Addison Appleby,0.555
Amar Hromic,0.551
Ismael Kaouache,0.549
Julian Ruffin,0.545
Arthur Stefani,0.545
Sam Swank,0.544
Jake Bouchillon,0.532
Lucas Plesky,0.530
Austin Bates,0.530
Jakhongir Jalalov,0.528
Alberto Esteban,0.525
Alex Calott,0.523
Joel Rubio,0.518
Cedric Dujacquier,0.517
Nathan Debut,0.505
Will George,0.503
Mario Muniesa,0.502
Patrick Mayer,0.496
Hasier Pastor,0.495
Hugo Morth,0.493
Christopher Clayton,0.492
Freddie McGeehan,0.491
Javier Pujol,0.481
Yannick Schmidl,0.479
Beau Wills,0.478
Abe Hewko,0.473
Jeremy Schneider,0.470
Garik Yedigarian,0.467
Carlos Carrera,0.467
Garret Gardner,0.467
Matt Hamilton,0.465
Harrison Lang,0.464
Georg Lundkvist,0.462
Matt Browne,0.453
Daridge Saidi,0.450
Derrick Brown,0.441
Sebastian Salinas,0.439
Bradford Zitsch,0.436
Stephen Ong,0.422
Thomas Spratt,0.420
Feliz Albert,0.417
Grey Hamilton,0.416
Luqman Ebrahim,0.415
Roy Brandys,0.414
Nathan Roper,0.403
Photos Photiades,0.393
Alex Aleman,0.393
Eduardo Lourido-Sanchez,0.392
Alex Drean,0.392
Teague Hamilton,0.390
Robert Herrera,0.389
Jake Stefanik,0.385
Miguel Alvarez-Hevia,0.383
Joey Hatala,0.382
Jarred Wynan,0.378
Zachary Morris,0.375
Stuart DePaolo,0.375
Alex Toliver,0.373
Chad Hoskins,0.373
Amar Saletovic,0.372
Andrew Hutchinson,0.370
Stathi Kyriakides,0.370
David Hager,0.368
Michael Fredericka,0.354
Andreas Boers,0.351
Harry Walshe,0.351
Chris Schindler,0.348
Mathieu Ounanian,0.346
Gerhard Gruindelingh,0.346
Julius Tverijonas,0.345
Andrew Dzulnsky,0.345
Andy Lau,0.340
Charlie Shin,0.340
Scott Hinze,0.340
Yale Goldberg,0.337
Dylan Fletcher,0.336
Roman Trkulja,0.335
Niranjan Ram,0.331
Alejandro Valencia,0.331
Arnav Mohanty,0.330
Javier Restrepo,0.326
Aidan Carrazedo,0.323
Grant Taylor,0.321
Isaac Lloveras,0.318
Anthony Delcore,0.311
Blake Wiggins,0.309
Rick Timmerman,0.308
Rakshit Rishi,0.307
Marcus Fritz,0.306
Aman Agarwal,0.306
Arthur Bedel,0.298
Airam Castellano,0.296
Robert Skolik,0.292
Peter Sienko,0.292
Matt Nardella,0.290
Federico Buscarino,0.287
Andrew Goodwin,0.286
Theophile Lanthiez,0.284
Alexandros Georgios Vakouftsis,0.284
Jonathan Raa,0.281
Louis Ishizaka,0.275
Noah Hajdu-Andersson,0.273
Robin Chou,0.270
Victor Casadevall,0.267
Thomas Mayronne,0.258
Carlos Fernandez,0.257
Ramy Bekheit,0.255
Dan Wright,0.255
Paul Cisti,0.251
Ciaran Fitzgerald,0.249
Joey Leto,0.244
Cameron Smith,0.234
Eliott Loubatie,0.234
Joe Dube',0.232
Robert Allan,0.223
Franz Sydow,0.221
Louis-Philippe Hamel,0.218
Victor Hoang,0.215
Pally Ray,0.215
Lewis Roskilly,0.214
Kyle Dunn,0.210
Arnaud Holl,0.203
Alexandre Thirouin,0.203
Anthony Arocho,0.194
Rolando Torrellas,0.194
