rd,name,team,p
6,Carol Zhao,Stanford,0.808
6,Jamie Loeb,North Carolina,0.685
6,Stephanie Wagner,Miami (FL),0.315
6,Josie Kuhlman,Florida,0.192
7,Carol Zhao,Stanford,0.556
7,Jamie Loeb,North Carolina,0.293
7,Stephanie Wagner,Miami (FL),0.084
7,Josie Kuhlman,Florida,0.068
