BEGIN
CREATE TABLE
INSERT 0 947
 rk  |                       school                       | league |  str   |  ofs   |  dfs  |  sos   
-----+----------------------------------------------------+--------+--------+--------+-------+--------
   1 | North Carolina                                     | D1     |   8.74 |   4.34 | -4.40 | 117.17
   2 | University of Southern California                  | D1     |   8.57 |   4.30 | -4.27 | 211.83
   3 | University of Georgia                              | D1     |   8.51 |   4.23 | -4.28 | 526.41
   4 | UCLA                                               | D1     |   8.45 |   4.22 | -4.22 | 218.38
   5 | California                                         | D1     |   8.44 |   4.21 | -4.23 | 197.45
   6 | University of Florida                              | D1     |   8.31 |   4.14 | -4.17 | 294.25
   7 | Baylor University                                  | D1     |   8.23 |   4.15 | -4.08 |  84.15
   8 | Vanderbilt University                              | D1     |   8.18 |   4.07 | -4.11 | 490.40
   9 | Stanford                                           | D1     |   7.98 |   4.00 | -3.97 | 262.66
  10 | University of Michigan                             | D1     |   7.80 |   3.88 | -3.92 |  76.60
  11 | University of Virginia                             | D1     |   7.64 |   3.82 | -3.82 | 208.89
  12 | University of Alabama                              | D1     |   7.53 |   3.75 | -3.78 | 274.65
  13 | University of Miami (Florida)                      | D1     |   7.49 |   3.74 | -3.75 | 182.66
  14 | Texas A&M University                               | D1     |   7.41 |   3.72 | -3.70 | 342.96
  15 | Oklahoma State University                          | D1     |   7.30 |   3.62 | -3.68 |  91.82
  16 | Clemson University                                 | D1     |   7.01 |   3.50 | -3.51 | 162.35
  17 | Texas Tech University                              | D1     |   6.76 |   3.35 | -3.40 |  87.79
  18 | Arizona State University                           | D1     |   6.51 |   3.27 | -3.24 |  66.17
  19 | Pepperdine                                         | D1     |   6.32 |   3.16 | -3.16 |  58.90
  20 | TCU                                                | D1     |   6.21 |   3.10 | -3.11 | 105.74
  21 | Ohio State University                              | D1     |   6.11 |   3.04 | -3.07 |  50.95
  22 | Georgia Tech                                       | D1     |   6.09 |   3.05 | -3.04 | 152.66
  23 | Duke University                                    | D1     |   6.08 |   3.02 | -3.06 | 168.22
  24 | University of Mississippi                          | D1     |   6.02 |   3.01 | -3.01 |  56.36
  25 | University of South Carolina                       | D1     |   5.52 |   2.78 | -2.74 |  62.27
  26 | LSU                                                | D1     |   5.50 |   2.75 | -2.75 |  42.77
  27 | Mississippi State University                       | D1     |   5.45 |   2.74 | -2.71 |  24.82
  28 | Florida State University                           | D1     |   5.43 |   2.71 | -2.73 |  34.95
  29 | Northwestern University                            | D1     |   5.27 |   2.65 | -2.61 |  60.26
  30 | University of Kentucky                             | D1     |   5.25 |   2.61 | -2.64 |  92.33
  31 | Auburn University                                  | D1     |   5.14 |   2.56 | -2.57 |  19.93
  32 | Wichita State University                           | D1     |   5.13 |   2.56 | -2.57 |   2.89
  33 | University of Notre Dame                           | D1     |   5.06 |   2.55 | -2.52 |  77.40
  34 | Virginia Tech                                      | D1     |   5.00 |   2.51 | -2.50 |  51.32
  35 | Rice University                                    | D1     |   4.80 |   2.40 | -2.41 |  35.57
  36 | Armstrong State University                         | D2     |   4.56 |   2.22 | -2.34 |   0.03
  37 | University of Tulsa                                | D1     |   4.53 |   2.28 | -2.25 |  10.82
  38 | College of William and Mary                        | D1     |   4.36 |   2.19 | -2.17 |   7.16
  39 | Dartmouth College                                  | D1     |   4.30 |   2.15 | -2.15 |  20.04
  40 | Purdue University                                  | D1     |   4.29 |   2.13 | -2.16 |  33.26
  41 | University of Texas at Austin                      | D1     |   4.29 |   2.15 | -2.14 | 127.98
  42 | University of Oklahoma                             | D1     |   4.28 |   2.14 | -2.14 |  37.01
  43 | Boston College                                     | D1     |   4.28 |   2.14 | -2.14 |  44.52
  44 | DePaul University                                  | D1     |   4.22 |   2.08 | -2.14 |   1.87
  45 | University of Washington                           | D1     |   4.20 |   2.10 | -2.10 |  43.19
  46 | Saint Mary's College of California                 | D1     |   4.20 |   2.10 | -2.10 |  35.91
  47 | University of Houston                              | D1     |   4.20 |   2.11 | -2.09 |  13.23
  48 | Princeton University                               | D1     |   4.15 |   2.07 | -2.08 |  32.29
  49 | University of Arizona                              | D1     |   4.09 |   2.06 | -2.03 |  20.09
  50 | University of Arkansas                             | D1     |   4.06 |   2.04 | -2.02 |  14.52
  51 | Long Beach State University                        | D1     |   3.98 |   2.00 | -1.98 |   6.28
  52 | University of South Alabama                        | D1     |   3.73 |   1.84 | -1.89 |   1.24
  53 | Middle Tennessee State University                  | D1     |   3.66 |   1.83 | -1.83 |   2.02
  54 | Fresno State                                       | D1     |   3.61 |   1.80 | -1.82 |   5.26
  55 | University of Illinois                             | D1     |   3.61 |   1.82 | -1.79 |  12.17
  56 | Indiana University-Bloomington                     | D1     |   3.56 |   1.80 | -1.76 |  12.28
  57 | Columbia University                                | D1     |   3.45 |   1.72 | -1.72 |  23.25
  58 | Wake Forest University                             | D1     |   3.39 |   1.70 | -1.69 |  32.64
  59 | Old Dominion University                            | D1     |   3.34 |   1.67 | -1.67 |   4.49
  60 | University of Tennessee                            | D1     |   3.27 |   1.65 | -1.62 |  58.68
  61 | University of Utah                                 | D1     |   3.26 |   1.62 | -1.64 |  62.53
  62 | University of Oregon                               | D1     |   3.25 |   1.65 | -1.61 |  36.71
  63 | Brown University                                   | D1     |   3.24 |   1.63 | -1.61 |  20.62
  64 | University of Maryland, College Park               | D1     |   3.13 |   1.58 | -1.55 |  26.91
  65 | University of Minnesota                            | D1     |   3.09 |   1.54 | -1.54 |   9.74
  66 | Virginia Commonwealth University                   | D1     |   3.08 |   1.55 | -1.53 |   2.06
  67 | San Jose State University                          | D1     |   3.06 |   1.54 | -1.51 |   6.63
  68 | Syracuse University                                | D1     |   2.97 |   1.50 | -1.47 |  71.95
  69 | Charleston Southern University                     | D1     |   2.90 |   1.43 | -1.48 |   0.32
  70 | Penn State University                              | D1     |   2.90 |   1.45 | -1.45 |  29.26
  71 | University of Portland                             | D1     |   2.90 |   1.43 | -1.47 |   2.75
  72 | Cornell University                                 | D1     |   2.89 |   1.44 | -1.44 |   3.73
  73 | Marshall University                                | D1     |   2.85 |   1.43 | -1.42 |  11.94
  74 | San Diego State University                         | D1     |   2.84 |   1.43 | -1.41 |   9.65
  75 | University of Texas at Arlington                   | D1     |   2.82 |   1.40 | -1.42 |   2.69
  76 | Yale University                                    | D1     |   2.80 |   1.39 | -1.41 |  14.50
  77 | University of Memphis                              | D1     |   2.78 |   1.39 | -1.40 |  31.67
  78 | Washington State University                        | D1     |   2.68 |   1.34 | -1.34 |   7.92
  79 | SMU                                                | D1     |   2.65 |   1.33 | -1.32 |   7.05
  80 | Tulane University                                  | D1     |   2.63 |   1.30 | -1.34 |   8.78
  81 | Brigham Young University                           | D1     |   2.63 |   1.33 | -1.30 |  14.67
  82 | Michigan State University                          | D1     |   2.60 |   1.31 | -1.29 |   6.03
  83 | University of Colorado                             | D1     |   2.59 |   1.31 | -1.28 |  21.69
  84 | Harvard University                                 | D1     |   2.54 |   1.29 | -1.24 |  28.29
  85 | University of Wisconsin, Madison                   | D1     |   2.45 |   1.24 | -1.21 |   6.13
  86 | Stony Brook University                             | D1     |   2.45 |   1.21 | -1.25 |   0.19
  87 | University of Kansas                               | D1     |   2.45 |   1.24 | -1.21 |  33.93
  88 | Barry University                                   | D2     |   2.44 |   1.23 | -1.22 |   0.11
  89 | University of Louisville                           | D1     |   2.42 |   1.22 | -1.20 |  19.40
  90 | Univ. of Missouri, Columbia                        | D1     |   2.35 |   1.18 | -1.17 |  35.64
  91 | University of North Florida                        | D1     |   2.35 |   1.17 | -1.18 |   0.98
  92 | Samford University                                 | D1     |   2.27 |   1.14 | -1.13 |   1.68
  93 | Brigham Young University-Hawaii                    | D2     |   2.27 |   1.13 | -1.14 |   0.00
  94 | UC Santa Barbara                                   | D1     |   2.26 |   1.11 | -1.15 |   5.57
  95 | Drake University                                   | D1     |   2.25 |   1.11 | -1.14 |   0.40
  96 | University of Central Florida                      | D1     |   2.22 |   1.13 | -1.09 |   3.35
  97 | Univ. of San Francisco                             | D1     |   2.21 |   1.10 | -1.11 |  13.05
  98 | Georgia State University                           | D1     |   2.17 |   1.06 | -1.10 |   4.54
  99 | North Carolina State                               | D1     |   2.16 |   1.09 | -1.06 |  33.09
 100 | University of Denver                               | D1     |   2.11 |   1.06 | -1.05 |   1.45
 101 | Miami University (Ohio)                            | D1     |   2.11 |   1.05 | -1.06 |   1.24
 102 | University of New Mexico                           | D1     |   2.08 |   1.04 | -1.04 |   7.11
 103 | University of Pennsylvania                         | D1     |   2.07 |   1.05 | -1.02 |   8.67
 104 | University of Iowa                                 | D1     |   2.06 |   1.05 | -1.01 |  12.28
 105 | Chattanooga                                        | D1     |   1.99 |   1.01 | -0.98 |   0.42
 106 | University of North Texas                          | D1     |   1.95 |   0.96 | -0.99 |  13.39
 107 | East Tennessee State University                    | D1     |   1.93 |   0.96 | -0.97 |   0.57
 108 | Florida International University (FIU)             | D1     |   1.88 |   0.94 | -0.94 |   3.39
 109 | Univ. of Hawaii, Manoa                             | D1     |   1.86 |   0.94 | -0.92 |   8.55
 110 | University of Nebraska                             | D1     |   1.85 |   0.95 | -0.90 |   6.89
 111 | Univ. of Wyoming                                   | D1     |   1.81 |   0.88 | -0.93 |   1.61
 112 | Gonzaga University                                 | D1     |   1.81 |   0.92 | -0.88 |   1.85
 113 | UC Irvine                                          | D1     |   1.80 |   0.90 | -0.89 |   3.05
 114 | University of South Florida                        | D1     |   1.71 |   0.85 | -0.86 |  26.38
 115 | Cal State Northridge                               | D1     |   1.56 |   0.79 | -0.77 |   1.46
 116 | Boston University                                  | D1     |   1.56 |   0.74 | -0.82 |   0.56
 117 | Xavier University                                  | D1     |   1.50 |   0.75 | -0.74 |   0.66
 118 | Sacramento State                                   | D1     |   1.38 |   0.70 | -0.68 |   2.05
 119 | Univ. of Massachusetts, Amherst                    | D1     |   1.33 |   0.65 | -0.69 |   0.31
 120 | Murray State University                            | D1     |   1.28 |   0.64 | -0.65 |   0.08
 121 | Liberty University                                 | D1     |   1.27 |   0.65 | -0.62 |   0.44
 122 | ULM (Univ. of Louisiana at Monroe)                 | D1     |   1.24 |   0.60 | -0.64 |   0.24
 123 | Univ. of Pittsburgh                                | D1     |   1.13 |   0.58 | -0.55 | 102.81
 124 | Marquette                                          | D1     |   1.05 |   0.53 | -0.51 |   1.39
 125 | Williams College                                   | D3     |   1.04 |   0.50 | -0.55 |   0.04
 126 | Florida Gulf Coast University                      | D1     |   1.02 |   0.50 | -0.52 |   2.92
 127 | West Virginia University                           | D1     |   0.96 |   0.51 | -0.46 |   6.38
 128 | University of Idaho                                | D1     |   0.95 |   0.49 | -0.46 |   0.44
 129 | Kansas State                                       | D1     |   0.95 |   0.46 | -0.49 |   8.87
 130 | Stetson University                                 | D1     |   0.86 |   0.45 | -0.41 |   0.32
 131 | University of the Pacific (California)             | D1     |   0.82 |   0.42 | -0.41 |   5.15
 132 | Winthrop University                                | D1     |   0.77 |   0.39 | -0.38 |   3.74
 133 | Santa Clara University                             | D1     |   0.76 |   0.38 | -0.38 |   9.51
 134 | University of Nevada                               | D1     |   0.75 |   0.36 | -0.39 |   1.38
 135 | Texas A&M Corpus-Christi                           | D1     |   0.73 |   0.37 | -0.36 |   0.67
 136 | Univ. of Texas at San Antonio                      | D1     |   0.73 |   0.39 | -0.34 |   1.39
 137 | Troy University                                    | D1     |   0.72 |   0.34 | -0.39 |   0.84
 138 | St. John's University                              | D1     |   0.72 |   0.37 | -0.34 |   1.12
 139 | Iowa State University                              | D1     |   0.70 |   0.33 | -0.37 |   4.43
 140 | Univ. of West Florida                              | D2     |   0.70 |   0.37 | -0.33 |   0.03
 141 | UAB                                                | D1     |   0.70 |   0.34 | -0.35 |   5.22
 142 | University of Connecticut                          | D1     |   0.65 |   0.32 | -0.34 |   0.64
 143 | Coastal Carolina University                        | D1     |   0.64 |   0.32 | -0.32 |   0.37
 144 | College of Charleston                              | D1     |   0.64 |   0.34 | -0.30 |   2.69
 145 | Stephen F. Austin                                  | D1     |   0.63 |   0.34 | -0.29 |   1.02
 146 | Nicholls State University                          | D1     |   0.57 |   0.29 | -0.27 |   0.79
 147 | UC Davis                                           | D1     |   0.57 |   0.29 | -0.27 |   0.72
 148 | Louisiana Tech University                          | D1     |   0.56 |   0.28 | -0.28 |   3.10
 149 | Boise State University                             | D1     |   0.45 |   0.23 | -0.22 |   1.29
