rk,player,team,str
59,Diego Hidalgo,University of Florida,164.14
60,Elliott Orkin,University of Florida,161.85
61,Robert Kelly,North Carolina,160.14
62,Adrien Berkowicz,University of Texas,157.33
63,Tim Kopinski,University of Illinois,156.08
64,AJ Catanzariti,Texas A&M University,154.47
65,Maxime Tchoutakian,Baylor University,153.75
66,Andreas Bjerrehus,Virginia Tech,152.80
67,Hunter Koontz,Virginia Tech,149.60
68,Lloyd Glasspool,University of Texas,149.05
69,Alen Salibasic,Drake University,143.48
70,Daniel Valent,Vanderbilt University,142.80
71,Daniel Leitner,University of South Alabama,142.18
72,Eric Johnson,University of Southern California,141.01
73,Lukas Ollert,Auburn University,139.98
74,Dovydas Sakinis,Dartmouth College,139.83
75,Stefan Lindmark,University of Mississippi,137.25
76,Arnau Dachs,TCU,129.43
77,Felipe Soares,Texas Tech University,126.62
78,Connor Glennon,University of Memphis,126.47
79,Carlos Lopez Villa,Old Dominion University,124.45
80,Robbie Mudge,North Carolina State,123.78
81,Mikael Torpegaard,Ohio State University,121.88
82,Florin Bragusi,University of Oklahoma,120.02
83,Brett Clark,North Carolina,119.82
84,Bernardo Saraiva,Univ. of San Francisco,119.12
85,Peter Nagy,Texas A&M-Corpus Christi,118.08
86,Sam Shropshire,Northwestern University,117.60
87,Jack Murray,North Carolina,115.69
88,Uros Petronijevic,University of San Diego,114.33
89,Jonathan Ho,Wake Forest University,112.69
90,Albert Wagner,University of Louisville,110.44
91,Amerigo Contini,Virginia Tech,107.47
92,Felipe Rios,Baylor University,106.48
93,Bruno Semenzato,Duke University,106.09
94,Ralf Steinbach,Ohio State University,105.19
95,Shane Vinsant,Texas A&M University,105.00
96,Beck Pennington,University of Kentucky,104.79
97,Felix Corwin,University of Minnesota,104.15
98,Filip Vittek,University of San Diego,100.30
99,Edoardo Tessaro,Virginia Tech,99.56
100,Facundo Lugones,TCU,99.44
101,Samm Butler,SMU,98.51
102,Ben Lott,Drake University,97.92
103,Nick Bybel,Bucknell University,96.29
104,Joao Monteiro,Virginia Tech,96.05
105,Nick Wood,University of Georgia,95.84
106,Alexander Ritschard,University of Virginia,95.71
107,John Morrissey,Stanford University,94.24
108,Mike Vermeer,Columbia University,93.22
109,David Biosca,East Tennessee State University,92.15
110,Naoki Takeda,University of Arizona,91.71
111,Denis Nguyen,Harvard University,91.11
112,Piotr Lomacki,University of Miami (Florida),90.70
113,Ashok Narayana,Columbia University,90.18
114,Hunter Callahan,Ohio State University,89.95
115,Florian Lakat,Mississippi State University,88.12
116,Christopher Eubanks,Georgia Tech,86.21
117,Jack Findel-Hawkins,University of North Florida,85.77
118,Strong Kirchheimer,Northwestern University,85.03
119,Maxime Hinnisdaels,Auburn University,84.37
120,Jake Douglas,University of Washington,84.35
121,Diego Galeano,Baylor University,84.10
122,Tin Ostojic,Wichita State University,83.99
123,Zack McCourt,Princeton University,82.31
124,David Hsu,Stanford University,81.90
125,Jakob Sude,Oklahoma State University,81.43
126,Dragos Ignat,Columbia University,79.19
127,Diogo Rocha,University of Denver,75.57
128,Thomas Colautti,Princeton University,73.88
129,Mitch Stewart,University of Washington,73.61
130,Michael Rinaldi,Florida State University,72.03
131,Chris Simpson,LSU,69.98
132,Alejandro Espejo,University of Tulsa,69.31
133,Arjun Kadhe,Oklahoma State University,68.94
134,Marko Krickovic,Auburn University,67.78
135,Kyle Koch,University of South Carolina,66.62
136,Jordan Angus,University of San Diego,66.57
137,Kevin Metka,Ohio State University,66.53
138,Hunter Harrington,Clemson University,65.25
139,Andrew Watson,University of Memphis,64.76
140,Rishab Agarwal,Mississippi State University,64.33
141,Ben Davis,Middle Tennessee State University,64.17
142,Daan Maasland,University of Oregon,64.08
143,Karue Sell,UCLA,63.92
144,Mads Engsted,California,63.22
145,Henry Craig,University of Denver,62.66
146,Hassan Ndayishimye,Troy University,62.35
147,Nicky Hu,Harvard University,62.32
148,Sasha Gozun,University of South Florida,61.71
149,Spencer Papa,University of Oklahoma,61.43
150,Hendrik Jebens,San Diego State University,60.62
151,Boris Arias,LSU,60.06
152,Alex Sendegeya,Texas Tech University,59.75
153,Harrison Adams,Texas A&M University,58.65
154,George Goldhoff,University of Texas,56.89
155,Mate Cutura,Mississippi State University,56.46
156,Jaan Kononov,"Univ. of Maryland, Baltimore County",55.67
157,Gordon Watson,University of Florida,55.57
158,Chase Perez-Blanco,University of Florida,55.07
159,Mac Styslinger,University of Virginia,54.32
160,Maxx Lipman,University of Florida,54.03
161,Alejandro Llamas,SMU,53.98
162,Oliver Pramming,University of South Florida,53.67
163,Rhys Johnson,Vanderbilt University,53.31
164,Jordan Daigle,LSU,52.96
165,Maksim Kan,Wake Forest University,52.95
166,Austin Powell,North Carolina State,52.59
167,Beck Bond,North Carolina State,52.23
168,Marco Nunez,Florida State University,52.06
169,Simon Norenius,North Carolina State,51.38
170,Vince Schneider,Baylor University,50.63
171,Peter Bertran,University of Georgia,50.42
172,Josh Hagar,University of Notre Dame,50.06
173,William Bushamuka,University of Kentucky,49.80
174,Hugo Dojas,Texas Tech University,49.29
175,Christian Seraphim,Wake Forest University,48.70
176,Henrik Wiersholm,University of Virginia,47.90
177,Paul Oosterbaan,University of Georgia,47.74
178,Lucas Gerch,Oklahoma State University,47.06
179,Dusty Boyer,University of Nebraska,46.95
180,Marko Goles-Babic,San Diego State University,46.33
181,Garrett Patton,Boise State University,45.85
182,Jordi Arconada,Texas A&M University,44.65
183,Skander Mansouri,Wake Forest University,44.56
184,Simon Stevens,University of Oregon,43.85
185,Jose Antonio Salazar,University of Oklahoma,43.77
186,Logan Staggs,Northwestern University,43.71
187,Carlos Benito,Georgia Tech,43.34
188,Ravi Patel,Drake University,43.21
189,Gregory Bayane,California,42.28
190,Ryan Peniston,University of Memphis,42.21
191,Jolan Cailleau,Texas Tech University,42.13
192,Runhao Hua,University of Michigan,42.10
193,Alex Gornet,University of Louisville,42.00
194,Jordi Massalle Ferrer,Charlotte,41.52
195,Filip Bergevi,California,41.15
196,Chris Kipouras,Dartmouth College,41.11
197,Ashot Khacharyan,Santa Clara University,41.00
198,Andrew Schafer,University of South Carolina,40.92
199,Billy Griffith,California,40.63
200,Ben Wagland,University of Georgia,40.51
201,Guilherme Hadlich,Pepperdine,40.03
202,Juan Cruz Estevarena,Mississippi State University,39.80
203,Alex Steinroeder,Harvard University,39.52
204,Sebastian Heim,UC Irvine,38.87
205,Cristian Gonzalez Mendez,Florida State University,38.85
206,Chris Vrabel,Cornell University,38.46
207,Gage Brymer,UCLA,38.23
208,Justin Butsch,LSU,38.16
209,Juan Benitez,Baylor University,37.90
210,Nolan Paige,Stanford University,37.86
211,Eduardo Segura,Georgia Tech,37.65
212,Nate Lammons,SMU,37.29
213,Tristan Meraut,Oklahoma State University,37.27
214,Aaron Gomez,Virginia Tech,37.13
215,Samir Iftikhar,University of New Mexico,36.40
216,Harrison O'Keefe,University of South Carolina,35.84
217,Will Stein,TCU,35.81
218,Konrad Zieba,Northwestern University,35.78
219,Kevin Farin,University of Oregon,35.48
220,Freddy Gelbrich,San Diego State University,35.26
221,Sebastian Beltrame,Harvard University,35.17
222,TJ Pura,Duke University,34.89
223,Rogerio Ribeiro,East Tennessee State University,34.60
224,David Wilczynski,Stanford University,34.59
225,Jayson Amos,University of Oregon,34.58
226,Sebastian Rey,Tulane University,34.25
227,Jack Hamburg,University of Minnesota,34.24
228,Mariano Porter,University of Central Florida,33.39
229,Thomas Weigel,North Carolina State,33.23
230,Sven Lalic,Indiana University-Bloomington,32.84
231,Nick Naumann,University of Texas,32.74
232,Herkko Pollanen,Ohio State University,32.73
233,Lefteris Theodorou,University of Iowa,32.52
234,Stefan Vinti,Cornell University,32.40
235,Oskar Wikberg,California,32.12
236,Daniel Bednarczyk,Indiana University-Bloomington,32.06
237,Shawn Hadavi,Columbia University,31.52
238,Gal Hakak,University of Washington,31.42
239,Chris Simich,University of Louisville,31.38
240,Chris Mengel,Duke University,31.09
241,Rob Galloway,Wofford,31.01
242,Ben Donovan,Cal Poly,30.65
243,Ilya Osintsev,Santa Clara University,29.99
244,Constantin Schmitz,Tulane University,29.87
245,Brian Yeung,Harvard University,29.83
246,Randy Phillips,UNC Greensboro,29.58
247,Matt Hagan,University of Iowa,29.52
248,Gustav Hansson,University of Mississippi,29.28
249,Jacob Dunbar,University of Richmond,29.20
250,Giammarco Micolani,University of Arkansas,28.90
251,Ricardo Jorge,University of Mississippi,28.84
252,Tobias Galskov,UC Santa Barbara,28.73
253,Michael Tenzer,"Univ. of Wisconsin, Green Bay",28.61
254,Sam Monette,Indiana University-Bloomington,28.48
255,Ethan Dunbar,University of Richmond,28.36
256,Ciro Riccardi,Dartmouth College,28.15
257,John Mee,University of Texas,28.08
258,Matt Barry,Penn State University,28.03
259,Robert Livi,St. John's University,27.87
260,Stjepan Sisko,University of Toledo,27.79
261,Alejando Augusto,Clemson University,27.54
262,Alp Horoz,Northwestern University,27.47
263,Gabriel Dias,Troy University,27.45
264,Michael Voscek,Virginia Commonwealth University,27.36
265,Ryoto Tachi,UCLA,26.97
266,Nathan Rakitt,Georgia Tech,26.61
267,Erick Reyes,St. John's University,26.52
268,Moez Chargui,University of Nevada,26.45
269,Austin Rapp,UCLA,26.24
270,Raheel Manji,Indiana University-Bloomington,26.01
271,Leonard Stakhovsky,Penn State University,25.81
272,Kenny Tao,Harvard University,25.68
273,Jerry Lopez,University of Kentucky,25.40
274,Gijs Linders,Michigan State University,25.28
275,Eric Rubin,Columbia University,25.07
276,Cole Fiegel,Georgia Tech,25.07
277,Brett Forman,Michigan State University,25.06
278,Tyler Lu,Yale University,24.76
279,Hunter Reese,University of Tennessee,24.75
280,Thiago Pinheiro,University of South Carolina,24.71
281,Parker McGuinness,University of Utah,24.58
282,Slim Hamza,University of Utah,24.58
283,Nicolas Podesta,University of Pennsylvania,24.17
284,Matt Frost,Drake University,24.13
285,Andrei Morin-Kougoucheff,Florida Atlantic University,23.97
286,Justin Roberts,University of South Florida,23.94
287,J.T. Nishimura,California,23.86
288,Jeffrey Schorsch,Valparaiso University,23.82
289,Vadym Kalyuzhnyy,University of South Florida,23.66
290,James Tallman,Univ. of San Francisco,23.61
291,Carlos Bautista,University of Tulsa,23.54
292,Ruben Weber,University of Minnesota,23.48
293,Andrew Adams,University of South Carolina,23.44
294,Pedro Iamachkine,Pepperdine,23.39
295,Nikko Madregallejo,University of Alabama,23.37
296,Chi-Shan Jao,Tulane University,23.28
297,Danny Kerznerman,University of Alabama,23.17
298,Josef Dodridge,University of Wisconsin,23.00
299,Ryan Andrada,University of Nevada,22.96
300,Daniel Sardu,University of Oregon,22.85
301,Max Andrews,Rice University,22.76
302,Ristomatti Lanne,Georgia Southern University,22.63
303,Adam Moundir,Old Dominion University,22.57
304,Arturs Kazijevs,SMU,22.26
305,Oystein Steiro,North Carolina,22.25
306,Luis Valero,University of Tennessee,22.25
307,Forrest Edwards,Charlotte,22.04
308,Matt Mendez,Ohio State University,21.97
309,Kenny Sabacinski,University of Notre Dame,21.74
310,Josh Pompan,University of Pennsylvania,21.71
311,Nicolai Ferrigno,Oklahoma State University,21.62
312,James Wade,UC Davis,21.57
313,Catalin Fifea,Virginia Commonwealth University,21.52
314,Eric Schnurrenberger,University of Notre Dame,21.45
315,Viktor Farkas,University of Washington,21.43
316,Ace Matias,UNLV,21.35
317,Francisco Dias,George Washington University,21.21
318,Jose Gracia,Florida State University,21.17
319,Srikar Alla,Rice University,21.12
320,Luke Johnson,Clemson University,21.06
321,Florian Nicoud,Virginia Tech,20.95
322,Nick Horton,North Carolina State,20.93
323,Andres Alfonzo,Florida Gulf Coast University,20.91
324,David Warren,Rice University,20.82
325,Arvis Berzins,Fairleigh Dickinson University,20.72
326,Nikita Lis,Lamar University,20.68
327,Alvaro Nazal,Gonzaga University,20.62
328,Michael Riechmann,University of Texas,20.58
329,Stefan Menichella,Pepperdine,20.58
330,Kris Yee,Vanderbilt University,20.48
331,Haris Poric,Wofford,20.10
332,Robert Stineman,Stanford University,20.08
333,Adam Gustafsson,Rice University,19.87
334,Alex Gasson,University of Denver,19.79
335,William Kallberg,University of Mississippi,19.75
336,Ignacio Gonzalez-Muniz,University of South Florida,19.69
337,Toshiki Matsuya,University of Illinois,19.61
338,Max Schnur,Columbia University,19.56
339,Mitch McDaniels,University of New Mexico,19.45
340,Linus Erhart,University of Nebraska,19.27
341,Joshua Yablon,Princeton University,19.19
342,Lukas Finzelberg,Oklahoma State University,19.11
343,Euan Mcintosh,Fresno State,19.10
344,Lucas Hejhal,St. John's University,19.09
345,Jack Schipanski,University of Tennessee,18.76
346,Miguel Diaz,University of the Pacific (California),18.72
347,Fedor Baev,Northwestern University,18.68
348,Errol Smith,Loyola Marymount University,18.63
349,Victor Cornea,Texas Tech University,18.60
350,Stefan Fortmann,Elon University,18.55
351,Hayden Sabatka,University of New Mexico,18.49
352,Tim Srkala,University of South Alabama,18.32
353,Daffra Sanon,Clemson University,18.32
354,Michael Kay,Georgia Tech,18.15
355,Ettore Zito,Middle Tennessee State University,17.95
356,Tito Moreiras,Univ. of Texas at San Antonio,17.88
357,Garrett Auproux,Cal Poly,17.79
358,Simon Pritchard,Kennesaw State University,17.69
359,Bernardo Casares Rosa,Cornell University,17.59
360,Milen Ianakiev,San Diego State University,17.33
361,Matt Erdman,Wake Forest University,17.31
362,Nico Mertens,UC Irvine,17.21
363,Denys Pume,UNLV,17.14
364,Rakshay Thakkar,Pepperdine,17.10
365,John Patrick Mullane,Michigan State University,17.08
366,Charles Boyce,Loyola Marymount University,16.86
367,Trent Botha,Oklahoma State University,16.84
368,Thorsten Bertsch,San Diego State University,16.68
369,Wilfredo Gonzalez,University of Miami (Florida),16.66
370,Korey Lovett,University of Alabama,16.62
371,Alex Lawson,University of Notre Dame,16.52
372,Ben Mullis,Drake University,16.45
373,Santtu Leskinnen,UNC Wilmington,16.34
374,Yannik James,University of Denver,16.21
375,Adrian Ortiz-Ruiz,University of Texas,16.16
376,Kevin Bettendroffer,Texas A&M-Corpus Christi,16.07
377,Markus Schultz,NJIT,16.06
378,Becker O'Shaughnessey,University of Alabama,15.82
379,Ilija Cuic,Wichita State University,15.78
380,Michael Zhu,University of Michigan,15.70
381,Baker Newman,Vanderbilt University,15.68
382,Cody Rakela,UC Santa Barbara,15.36
383,Jordan Szabo,Texas A&M University,15.33
384,Aws Laaribi,Penn State University,15.32
385,Daniel Armengol,University of Texas at Arlington,15.19
386,Esben Hess-Olesen,North Carolina,15.12
387,Diego Acosta,Purdue University,15.08
388,Scott Webster,Appalachian State University,15.07
389,Alex Van Cott,Tulane University,15.06
390,Caio Gomes,University of North Florida,15.04
391,Austin Siegel,University of Oklahoma,14.96
392,Tomas Hanzlik,Penn State University,14.90
393,Sam Fleck,Cornell University,14.85
394,Francesc Aulina,University of Central Florida,14.83
395,Emmett Egger,University of Washington,14.75
396,Julian Cash,Mississippi State University,14.73
397,Mitchell Pritchard,University of Tulsa,14.70
398,Matthew Kirby,University of Tulsa,14.63
399,Jannis Koeke,Georgia State University,14.48
400,Sam Bloom,Wake Forest University,14.45
401,Kaue Pereira,Coastal Carolina University,14.37
402,Alex Galoustian,DePaul University,14.36
403,Grant Solomon,Harvard University,14.34
404,Cedric Willems,University of Utah,14.28
405,Christian Harris,Clemson University,14.22
406,Bart Van Leijsen,University of New Mexico,14.20
407,Michail Pervolarakis,University of Portland,14.04
408,Patrick O'Keefe,Radford University,14.01
409,Keivon Tabrizi,Wake Forest University,14.00
410,Andrey Goryachkov,Brigham Young University,13.95
411,Max Lunkin,Texas A&M University,13.83
412,Jeffrey Brown,University of Louisville,13.82
413,Hampton Drake,Clemson University,13.77
414,Ian Dempster,North Carolina State,13.74
415,Dominic Patrick,University of Iowa,13.73
416,Adam Glynn,Fresno State,13.72
417,Trevor Johnson,TCU,13.66
418,Mihir Kumar,Northwestern University,13.60
419,Romain Kalaydjian,University of San Diego,13.57
420,Jamie Malik,Rice University,13.56
421,Andrew Poustie,University of Nevada,13.48
422,Tam Trinh,LSU,13.48
423,Steffen Dierauf,University of Portland,13.39
424,Dan Richardson,Princeton University,13.36
425,Leopold Gomez Islinger,"Univ. of Wisconsin, Green Bay",13.25
426,Javier Jover Maestre,Old Dominion University,13.20
427,Igor Smelyanski,University of Tennessee,13.15
428,Bryce McKelvie,UC Davis,13.14
429,Kai Lemke,University of Memphis,13.07
430,Josh Levine,Duke University,12.93
431,Danil Zelenkov,George Washington University,12.92
432,Jeremy Court,University of Pennsylvania,12.90
433,Luke Gamble,Princeton University,12.89
434,Jake Albo,Florida State University,12.87
435,Michael Lippens,University of Louisville,12.79
436,Maik Steiner,Western Michigan University,12.78
437,Jai Corbett,Virginia Tech,12.70
438,Ricky Medinilla,Purdue University,12.65
439,Matt Kuhar,Bryant University,12.65
440,Karan Salwan,Utah State University,12.62
441,Christiaan Van der Burgh,UNC Wilmington,12.52
442,Jonny Rigby,"Southern Illinois, Carbondale",12.49
443,Hasier Pastor,California,12.41
444,Cormac Clissold,University of Oregon,12.34
445,Joseph Di Giulio,UCLA,12.22
446,Ismael Merino,East Tennessee State University,12.17
447,Terrell Whitehurst,Florida State University,12.14
448,Oliver Landert,University of Florida,12.13
449,Tuki Jacobs,University of South Alabama,12.07
450,Vaidik Munshaw,St. John's University,12.05
451,Alex Knight,University of Michigan,12.00
452,Jakob Amilon,UNLV,11.94
453,Shane Monroe,Brigham Young University,11.91
454,Jean Thirouin,Harvard University,11.90
455,Tyler Pham,UC Irvine,11.89
456,Josh Silverstein,University of Iowa,11.88
457,Diego Vives,Princeton University,11.79
458,Brandon Yeoh,Brown University,11.79
459,Arthur Weber,Saint Mary's College of California,11.78
460,Juan Moreiras,Univ. of Texas at San Antonio,11.75
461,Christian Cargill,College of William and Mary,11.56
462,Trey Yates,University of Kentucky,11.54
463,Nathan Eshmade,UC Santa Barbara,11.53
464,Marko Lovrinovic,Belmont University,11.52
465,Michael Weindl,Old Dominion University,11.44
466,Chris Barrus,University of Central Florida,11.41
467,Francis Sargeant,Brigham Young University,11.40
468,Eddy Covalschi,University of Notre Dame,11.37
469,Mathieu Froment,University of Minnesota,11.37
470,Jonathan Gonzalez,University of Texas at Arlington,11.27
471,Philippe Tsangaridis,Coastal Carolina University,11.26
472,Josh Zeoli,Fresno State,11.24
473,Victor Pugliese,Monmouth University,11.22
474,Dylan McCloskey,University of Tulsa,11.22
475,Henrique Tsukamoto,University of Miami (Florida),11.15
476,Alex Fennell,Penn State University,11.13
477,Tomislav Gregurovic,Wichita State University,11.01
478,Ramy Bekheit,Monmouth University,10.88
479,Jake Wynan,University of Louisiana,10.88
480,Suresh Eswaran,Vanderbilt University,10.87
481,Jefta Kecic,Western Michigan University,10.76
482,Harry Jadun,Michigan State University,10.75
483,Corey Pang,Cal Poly,10.70
484,Arkadijs Slobodkins,SMU,10.68
485,Alex Petrone,University of Michigan,10.67
486,Nils Skajaa,Univ. of San Francisco,10.63
487,Morgan Mays,UC Santa Barbara,10.59
488,Everett Maltby,UC Davis,10.54
489,Dennis Baumgartner,Utah State University,10.47
490,Jordan Belga,University of Florida,10.44
491,Geoffrey Fosso,University of San Diego,10.41
492,Alec Adamson,UC Davis,10.41
493,Julius Tverijonas,George Washington University,10.40
494,Tremayne Mitchell,Winthrop University,10.33
495,"STEMPIEN, Krzyzstof",Idaho State University,10.32
496,Jess Jones,University of Tennessee,10.32
497,Howard Scott,"Univ. of Wisconsin, Green Bay",10.30
498,Nick Kamisar,Gonzaga University,10.25
499,Jovan Parlic,University of Arkansas,10.22
500,Eric Komati,Fresno State,10.20
501,Luca Marquard,Pepperdine,10.17
502,Vinod Gowda,University of Mississippi,10.04
503,Yannick Zuern,University of North Florida,10.00
504,Van Damrongsri,University of Louisville,9.98
505,Calum MacGeoch,Drake University,9.94
506,Ricardo Mayagoitia,Texas A&M-Corpus Christi,9.92
507,Dante Saleh,Auburn University,9.92
508,Kamil Khalil,Charlotte,9.91
509,Sebastian Ermicioiu,University of Texas at Arlington,9.90
510,Shaun Chaudhuri,Harvard University,9.87
511,David Herrerias,University of Arkansas,9.81
512,Bert Vancura,Columbia University,9.74
513,Rishabh Raman,University of Washington,9.72
514,Aaron Chaffee,College of William and Mary,9.71
515,Colin Sinclair,Cornell University,9.66
516,Christian Langmo,University of Miami (Florida),9.59
517,Ricky Ventura,Florida Gulf Coast University,9.59
518,Loic Blanco,Stetson University,9.58
519,Andrew Ball,Harvard University,9.56
520,Ramon Simonetti,"University of South Carolina, Upstate",9.52
521,Tassilo Schmid,Mississippi State University,9.46
522,Jason Jaruvang,University of Arizona,9.42
523,Ross Guignon,University of Illinois,9.31
524,Alexander Day,Princeton University,9.27
525,Damien David,University at Buffalo,9.26
526,Daniel Fernandez,Marquette,9.20
527,Gian Issa,Middle Tennessee State University,9.18
528,Antonio Rodriguez,Virginia Commonwealth University,9.10
529,Ruben Alberts,UNLV,9.06
530,Sam Williams,UNC Wilmington,9.06
531,Toby Mitchell,Boise State University,9.00
532,Luca Corinteli,University of Virginia,8.92
533,Daniel Alameh,University of the Pacific (California),8.92
534,Lucas Andersen,Ball State University,8.85
535,Markus Kerner,SMU,8.81
536,Dave Bacalla,Valparaiso University,8.75
537,Tom Hill,Pepperdine,8.74
538,Roman Trkulja,Penn State University,8.73
539,Michal Kianicka,"Southern Illinois, Carbondale",8.69
540,Jurence Mendoza,Oklahoma State University,8.66
541,Vuk Velickovic,Coastal Carolina University,8.62
542,Leonard Ivic,Univ. of Incarnate Word,8.61
543,Dan Elston,Longwood University,8.60
544,Will Neuner,Florida Atlantic University,8.57
545,Francisco Zambon,Texas Tech University,8.57
546,Billy Pecor,University of Notre Dame,8.56
547,Rodney Carey,South Carolina State,8.56
548,Matthew McCoy,Indiana University-Bloomington,8.53
549,Robin Riethmueller,Middle Tennessee State University,8.49
550,Damian Farinola,University of Louisiana,8.47
551,Pascal Domnik,Norfolk State University,8.46
552,Joe VanMeter,Cleveland State University,8.42
553,Giovani Samaha,Troy University,8.38
554,Joshua Wardell,University of Florida,8.36
555,Zvonimir Babic,University of Mississippi,8.34
556,Lautaro Pane,Pepperdine,8.28
557,Dylan Comerford,Winthrop University,8.20
558,Andrew Korinek,LSU,8.11
559,Eduardo Mena,Tennessee Tech University,8.10
560,Alex Aleman,Duquesne University,8.08
561,Blake Bazarnik,University of Illinois,8.07
562,Terrance Whitehurst,Florida State University,8.07
563,Sam Matheson,Liberty University,8.05
564,Adam Steryous,Furman University,8.05
565,Cristobal Rivera,Loyola Marymount University,8.04
566,Sebastian Yllera,East Tennessee State University,7.98
567,Guillermo de Vilchez,Wichita State University,7.92
568,Maciek Romanowicz,Stanford University,7.91
569,Zach Berry,Univ. of Dayton,7.89
570,Santiago Munoz,University of Arkansas,7.86
571,Justin To,Brown University,7.85
572,Lamar Remy,University of Wisconsin,7.85
573,Carlos Arbiza,University of Texas at Arlington,7.84
574,Zach Hublitz,UNC Wilmington,7.74
575,Oliver Plaskett,Auburn University,7.74
576,Sidhartha Hazarika,Binghamton University,7.73
577,Nikolas Papic,Fresno State,7.72
578,Trey Daniel,TCU,7.71
579,Ben Stride,Drake University,7.70
580,Zackery Kennedy,Georgia State University,7.69
581,Lauri Makikalli,Wright State University,7.64
582,Oliver Casey,Appalachian State University,7.60
583,Pablo Alvarez,University at Buffalo,7.60
584,Jose Chamba,University of the Pacific (California),7.57
585,Alejandro Bejar,Presbyterian College,7.57
586,Sumeet Shinde,University of Arizona,7.51
587,Thomas Tenreiro,Boise State University,7.50
588,Edgar Lopez,University of Louisiana,7.48
589,Johan den Toom,University of Arkansas,7.47
590,Ritchie KRUUNENBURG,Morehead State University,7.45
591,Daniel McCall,Duke University,7.42
592,Zachary Goldberg,University of North Florida,7.35
593,Greg Garcia,Brown University,7.34
594,Robin Lesage,Binghamton University,7.23
595,Zack Lewis,College of Charleston,7.22
596,Diego Pedraza,Dartmouth College,7.19
597,Sofiane Chevallier,Georgia State University,7.17
598,Chao-Yu Huang,University of Southern Mississippi,7.16
599,Ziqi Wang,Yale University,7.13
600,Rudolf Kurz,Marist College,7.10
601,Daniil Gerasimov,North Carolina Central University,7.07
602,Nicolas Soriano,East Carolina University,7.06
603,Austin Jones,U.S. Naval Academy,7.05
604,Damon Niquet,College of William and Mary,7.04
605,Brett Bacharach,UC Davis,7.00
606,Jeff Offerdahl,Vanderbilt University,6.97
607,Peter Tarwid,Brown University,6.97
608,Garik Yedigarian,Coastal Carolina University,6.97
609,Zach Mueck,Xavier University,6.97
610,Vasco Valverde,Univ. of San Francisco,6.92
611,Inaki Espindola,University of Central Florida,6.90
612,Augustus Ge,University of New Mexico,6.89
613,Lasse Muscheites,University of North Florida,6.81
614,Marc Hermann,University of Nebraska,6.77
615,Mathieu Garcia,University of Portland,6.72
616,Aleksas Tverijonas,Austin Peay State University,6.72
617,Shuhei Shibahara,UC Irvine,6.71
618,Eli Whittle,UC Davis,6.66
619,Erik Johnsson,UC Santa Barbara,6.65
620,Miroslav Herzan,Wichita State University,6.61
621,Sam Edwards,University of Alabama,6.59
622,Artem Khrapko,Davidson College,6.54
623,Michael Moya,Univ. of Northern Colorado,6.49
