rk,player,team,str
1,Axel Alvarez Llamas,University of Oklahoma,1765.52
2,Noah Rubin,Wake Forest University,1378.79
3,Mackenzie McDonald,UCLA,1350.53
4,Mikelis Libietis,University of Tennessee,1067.18
5,Julian Lenz,Baylor University,1050.25
6,Mitchell Frank,University of Virginia,964.08
7,Ryan Shane,University of Virginia,933.10
8,Søren Hess-Olesen,University of Texas,883.70
9,Sebastian Stiefelmeyer,University of Louisville,870.39
10,Andrew Harris,University of Oklahoma,777.80
11,Quentin Monaghan,University of Notre Dame,738.15
12,Gonzales Austin,Vanderbilt University,737.02
13,Thai-Son Kwiatkowski,University of Virginia,662.87
14,Brayden Schnur,North Carolina,616.93
15,Nik Scholtz,University of Mississippi,614.24
16,Romain Bogaerts,Wake Forest University,557.08
17,Dominik Koepfer,Tulane University,520.50
18,Wayne Montgomery,University of Georgia,516.41
19,Collin Altamirano,University of Virginia,511.49
20,Nicolas Alvarez,Duke University,497.34
21,Roberto Quiroz,University of Southern California,413.12
22,Winston Lin,Columbia University,349.85
23,Yannick Hanfmann,University of Southern California,328.66
24,Dennis Mkrtchian,UCLA,302.27
25,Roberto Cid,University of South Florida,302.15
26,Jared Hiltzik,University of Illinois,300.34
27,Aleks Vukic,University of Illinois,297.35
28,Austin Smith,University of Georgia,277.07
29,Farris Gosea,University of Illinois,273.01
30,Jonny Wang,University of Southern California,264.86
31,Mate Zsiga,Baylor University,256.64
32,Ronnie Schneider,North Carolina,246.10
33,Nick Crystal,University of Southern California,245.61
34,Tom Fawcett,Stanford University,234.43
35,Alexandru Ghilea,University of Oklahoma,231.47
36,Cameron Norrie,TCU,221.22
37,Arthur Rinderknech,Texas A&M University,216.41
38,Nathan Pasha,University of Georgia,214.12
39,Jordi Vives,Florida Gulf Coast University,210.73
40,Raphael Hemmeler,Duke University,209.73
41,Tomas Stillman,Univ. of Texas at San Antonio,201.92
42,Leandro Toledo,University of Minnesota,200.68
43,Guillermo Nuñez,TCU,199.69
44,Andre Goransson,California,198.43
45,Max de Vroome,University of Southern California,196.82
46,Chris Diaz,Ohio State University,192.83
47,Matic Spec,University of Minnesota,192.74
48,Jeremy Efferding,Texas A&M University,189.00
49,JC Aragone,University of Virginia,186.55
50,Nick Chappell,TCU,182.71
51,Martin Redlicki,UCLA,180.67
52,Clement Homs,University of Texas,180.57
53,Or Ram-Harel,University of Tulsa,177.68
54,Tony Lupieri,Baylor University,174.29
55,Jason Tahir,Duke University,173.91
56,Dane Webb,University of Oklahoma,170.28
57,Benjamin Lock,Florida State University,168.30
58,Aron Hiltzik,University of Illinois,164.63
