rk,player,team,str
102,Katarina Adamovic,Oklahoma State University,168.54
103,Stefanie Tan,TCU,164.02
104,Kenna Kilgo,Texas Tech University,160.67
105,Yulia Shupenia,DePaul University,160.10
106,Alex Najarian,University of Michigan,158.96
107,Lexi Borr,Boston College,158.78
108,Maiar Sherif Ahmed,Fresno State,157.65
109,Ilinca Stoica,Virginia Tech,153.45
110,Gabriella Castaneda,Florida State University,152.68
111,Sarah Dvorak,Texas Tech University,150.78
112,Kaitlin Ray,UCLA,149.74
113,Jessy Rompies,Clemson University,147.47
114,Skylar Morton,University of Virginia,142.26
115,Sandy Niehaus,Ohio State University,141.74
116,Aldila Sutjiadi,University of Kentucky,132.20
117,Mai El Kamash,University of Mississippi,129.63
118,Ashleigh Antal,Vanderbilt University,128.04
119,Monique Albuquerque,University of Miami (Florida),127.47
120,Johnnise Renaud,Georgia Tech,127.06
121,Clementina Riobueno,University of Miami (Florida),125.01
122,Terri Fleming,UCLA,124.12
123,Mariana Gould,University of Georgia,123.52
124,Gabriella De Santis,Ohio State University,122.63
125,Elena Cerezo-Codina,Virginia Tech,121.47
126,Ines Deheza,Texas A&M University,121.34
127,Cindy Nguyen,"Univ. of Hawaii, Manoa",120.96
128,Krista Hardebeck,Stanford,116.63
129,Peggy Porter,University of Florida,116.59
130,Shannon Hudson,University of Arkansas,115.99
131,Jeltje Loomans,College of William and Mary,115.34
132,Mami Adachi,University of Kentucky,114.85
133,Maeva Razakasoa,Long Beach State University,114.48
134,Rasheeda McAdoo,Georgia Tech,114.32
135,Silvia Garcia,University of Georgia,113.88
136,Kanika Vaidya,Columbia University,112.78
137,Wendy Zhang,University of Miami (Florida),112.76
138,Lily Miyazaki,University of Oklahoma,112.68
139,Sabrina Federici,Texas Tech University,110.25
140,Asiya Dair,Boston College,110.16
141,Quinn Gleason,University of Notre Dame,108.28
142,Shelby Talcott,University of Iowa,108.12
143,Nelle Youel,Northern Illinois University,107.66
144,Rachel Kahan,Duke University,106.80
145,Georgiana Patrasc,Mississippi State University,105.36
146,Hanna Yu,Yale University,105.03
147,Laura Gulbe,Pepperdine,103.65
148,Stefani Stojic,University of Florida,101.61
149,Dayna Lord,Brown University,101.55
150,Jessica Wacnik,Boston College,100.81
151,Kimmy Guerin,Wake Forest University,100.42
152,Erin Larner,Northwestern University,99.91
153,Maci Epstein,University of Virginia,99.58
154,Miho Kowase,Ohio State University,98.50
155,Patricia Fargas,DePaul University,97.88
156,Luicelena Perez,University of Alabama,95.68
157,Leighann Sahagun,Arizona State University,94.11
158,Alex Chatt,Northwestern University,93.19
159,Alicia Barnett,Northwestern University,92.96
160,Abigail Owens,LSU,92.55
161,Joanna Henderson,University of Tennessee,92.17
162,Maja Mladenovic,University of Portland,90.19
163,Julija Lukac,University of Washington,88.83
164,Kassidy Jump,Arizona State University,87.49
165,Kate Vialle,North Carolina,86.18
166,Stefania Hristov,Texas A&M University,86.10
167,Neda Koprcina,University of Texas at Austin,85.79
168,Meghan Blevins,University of South Carolina,85.72
169,Lok Sze Leung,Northwestern University,84.71
170,Anki Wind,University of Memphis,83.91
171,Katherine Ip,Rice University,83.13
172,Monica Robinson,University of Notre Dame,83.06
173,Rachael James-Baker,Baylor University,82.84
174,Caroline Daxhelet,Virginia Tech,82.84
175,Augustina Eskenazi,University of Pennsylvania,82.43
176,Daniela Vidal,Purdue University,81.14
177,Natalia Maynetto,University of Alabama,80.31
178,Kelley Anderson,Baylor University,79.99
179,Carla Tur Mari,Oklahoma State University,79.58
180,Natalie Suk,University of Mississippi,78.64
181,Kelsey Laurente,Oklahoma State University,76.85
182,Nadia Ravita,University of Kentucky,76.65
183,Kareena Manji,Saint Mary's College of California,76.41
184,Yukako Noi,Florida State University,74.27
185,Rebecca Pedrazzi,Wichita State University,73.52
186,McKenzie Davis,Utah State University,72.04
187,Gabriela Porubin,Wichita State University,72.01
188,Julyette Steur,University of Colorado,69.64
189,Lina Padegimaite,University of Texas at Austin,69.62
190,Apichaya Runglerdkriangkrai,Pepperdine,69.33
191,Anna Mamalat,Texas A&M University,69.23
192,Sara Castellano,Kansas State,67.84
193,Caroline Dailey,University of South Carolina,67.26
194,Madeleine Hamilton,Yale University,66.94
195,Katie Klyczek,Indiana University-Bloomington,66.79
